query	min	avg	max	STDDEV%
1	0.6571	0.65920260	0.6601	0.12107552
2	0.1463	0.14819540	0.1574	2.08771822
3	0.2463	0.25138870	0.2653	2.53571913
4	2.9658	2.97996970	3.0086	0.45642422
5	0.0012	0.00127010	0.0013	1.43306618
6	0.0010	0.00108640	0.0012	4.48718185
7	0.1771	0.18878880	0.1993	3.94040723
8	0.1864	0.18927140	0.1973	1.81638938
9	0.6654	0.67415800	0.7103	1.98261218
10	0.9121	0.91473910	0.9227	0.33607230
11	0.0009	0.00097200	0.0012	9.77366255
12	0.1781	0.18114010	0.1896	2.24998280
13	0.0013	0.00135850	0.0014	1.65689269
14	0.0011	0.00113410	0.0012	2.28286390
15	0.0012	0.00129440	0.0013	2.51317993
16	0.0010	0.00111160	0.0012	3.48907278
17	0.0010	0.00109480	0.0011	2.62318552
18	2.2207	2.25661610	2.3672	1.72997587
19	0.8069	0.81567460	0.8576	1.94630178
20	0.8063	0.83196530	1.0444	8.51150756
21	16.1613	16.19363950	16.2430	0.15712132
