# data set 01 -> MyRocks (10.3.6), from memory
# data set 02 -> MyRocks (10.3.6), IO bound
# data set 03 -> InnoDB (10.3.10), from memory
# data set 04 -> InnoDB (10.3.10), IO bound
# data set 05 -> MyRocks (10.3.10), from memory
# data set 06 -> MyRocks (10.3.10), IO bound


# read-only
#thd	01	02	03	04	05	06
1	3445.7	3451.6	10873	2031.5	4433.4	4440.9
2	12868	9316.8	21398	4730.5	14328	10575
4	23794	17850	41516	10788	26047	19816
8	44347	32234	75416	22606	50016	36862
16	82242	59014	138629	40716	95861	72424
32	102040	76082	198937	60829	131435	92533
64	79041	64886	196765	68911	126429	84925
128	62546	52515	192419	70582	112815	85772
256	48822	44186	193571	69999	109542	84031


# read/write (22% writes)
#thd	01	02	03	04	05	06
1	3270.1	3218.2	4198.1	1955.3	3282.2	3354.6
2	7229.1	6646.2	7618.8	3197.5	7342.5	6671.0
4	12545	11448	12766	4807.9	12848	12034
8	19984	18321	24656	7114.7	20294	19430
16	31120	28607	47528	11517	30953	28046
32	35994	35329	91252	16642	36397	35272
64	36533	34323	139380	17188	35807	32899
128	23818	33034	165184	19060	34256	32581
256	16090	30442	172793	19931	29840	29683


# read/write (50% writes)
#thd	01	02	03	04	05	06
1	6055.5	5063.2	5210.2	2035.6	6012.6	5172.7
2	10572	8710.3	9200.8	3305.7	10628	8624.8
4	17948	15191	16323	5233.5	18421	15685
8	30638	26766	31371	7809.7	30336	27316
16	47724	42444	60176	10684	47287	41925
32	60575	58638	109333	12880	63794	58899
64	56768	58932	164280	12327	65252	59766
128	45749	55581	185920	11868	61152	57606
256	23105	48860	195139	10901	53129	51264


# read/write (80% writes)
#thd	01	02	03	04	05	06
1	7834.4	5986.3	7686.5	2315.5	7921.3	6039.2
2	13698	11222	14642	3819.5	13807	11121
4	25441	19278	27985	6211.1	25382	19675
8	47720	38132	52342	8498.8	48020	38533
16	82801	68998	101519	9404.0	82087	69065
32	107000	93680	165881	8896.5	100639	94857
64	114605	104607	202319	8744.3	129587	106413
128	69400	105959	209557	8398.7	127984	107753
256	40424	99868	188437	6439.5	83548	98393


# read/write (100% writes)
#thd	01	02	03	04	05	06
1	5040.0	4670.0	4128.8	1818.4	4941.4	4750.5
2	10381	8004.1	6929.5	2901.9	10350	8704.2
4	14932	13544	12507	4600.4	14565	13652
8	22816	22526	22885	6504.4	22746	22408
16	33723	33523	45460	7547.6	33396	33423
32	41775	43580	80926	7618.5	42392	43583
64	42665	43490	135464	8069.4	43382	44325
128	43373	40272	173551	7586.5	42378	42085
256	34419	33362	154902	5920.4	38793	38001
