# connection 02 -> direct, remote
# connection 10 -> 2.2.2-tt3, 4 threads
# connection 11 -> 2.2.2-tt3, 8 threads
# connection 12 -> 2.2.2-tt3, 16 threads
# connection 13 -> 2.2.2-tt3, cache, 4 threads
# connection 14 -> 2.2.2-tt3, cache, 8 threads
# connection 15 -> 2.2.2-tt3, cache, 16 threads
# connection 16 -> 2.2.2-tt3, cache+assume_cacheable, 4 threads
# connection 17 -> 2.2.2-tt3, cache+assume_cacheable, 8 threads
# connection 18 -> 2.2.2-tt3, cache+assume_cacheable, 16 threads
# connection 20 -> 2.1.3, 4 threads
# connection 21 -> 2.1.3, 8 threads
# connection 22 -> 2.1.3, 16 threads
# connection 23 -> 2.1.3, cache, 4 threads
# connection 24 -> 2.1.3, cache, 8 threads
# connection 25 -> 2.1.3, cache, 16 threads
# connection 30 -> 2.1.13, 4 threads
# connection 31 -> 2.1.13, 8 threads
# connection 32 -> 2.1.13, 16 threads
# connection 33 -> 2.1.13, cache, 4 threads
# connection 34 -> 2.1.13, cache, 8 threads
# connection 35 -> 2.1.13, cache, 16 threads

# workload 02 -> OLTP(ro)

#thd	02	10	11	12	13	14	15	16	17	18	20	21	22	23	24	25	30	31	32	33	34	35
4	3.8800	4.5700	4.4200	4.8000	1.7600	1.7700	2.0200	1.4400	1.5700	1.4500	4.7300	4.6700	4.7400	2.0000	1.9400	1.9500	4.7400	4.6600	4.7000	1.9400	1.9000	1.9200
8	3.2800	4.0700	4.3100	4.4300	1.6600	1.7800	1.7600	1.2100	1.2500	1.5500	4.1300	4.2600	4.3400	1.4900	1.7900	1.8200	4.2000	4.3200	4.2600	1.5300	1.7900	1.8100
16	3.2800	3.8300	3.7600	3.8200	1.9000	1.9100	1.7400	1.0500	1.1500	1.1900	3.7600	3.8700	3.7500	1.8600	1.5600	1.8200	3.8400	3.8400	3.7700	1.6500	1.5600	1.8300
32	3.4300	4.0800	3.7900	3.7700	3.4300	2.4300	2.1100	1.5000	1.2400	1.2400	3.8900	3.7900	3.7600	3.1200	2.0300	1.7500	3.9100	3.7900	3.7600	2.9400	2.0300	1.7100
64	4.4200	5.2400	4.7800	4.7100	6.1800	4.3800	3.0100	2.8300	1.7100	1.6400	5.1100	4.7000	4.7200	5.9900	3.8300	2.6200	5.0900	4.7100	4.7300	5.6400	3.6800	2.6300
128	7.5400	8.8000	7.6500	7.6300	12.120	8.4600	5.7600	5.8800	3.4100	2.8500	8.7300	7.6200	7.6200	11.810	6.9300	5.4800	8.7100	7.6300	7.6100	11.360	7.3200	5.4600
256	15.020	15.910	14.760	14.710	24.260	16.850	11.240	11.990	6.8900	5.4300	16.060	14.720	14.710	23.930	14.300	10.870	15.960	14.690	14.680	22.320	14.530	10.860
512	31.550	32.280	30.640	30.640	48.620	32.560	22.440	24.940	13.780	11.040	32.030	30.570	30.560	47.700	28.900	21.640	31.380	30.520	30.460	46.070	29.300	21.660
1024	66.480	68.990	65.990	66.030	106.38	65.870	45.060	54.400	29.630	22.740	71.140	65.940	65.820	100.12	57.820	43.580	71.230	65.770	65.660	95.620	57.560	43.960

# workload 06 -> OLTP(rw)

#thd	02	10	11	12	13	14	15	16	17	18	20	21	22	23	24	25	30	31	32	33	34	35
4	4.1800	5.3200	5.3700	5.2300	2.0500	2.2400	2.3500	1.6700	1.9500	1.9100	5.5200	5.7100	5.6300	2.2800	2.2700	2.2800	5.4900	5.6000	5.6200	2.2700	2.2200	2.2900
8	3.9900	5.1900	5.0700	5.3200	2.0700	2.4300	2.4400	1.6700	1.8400	2.0200	5.3600	5.4900	5.5000	1.9300	2.2800	2.3600	5.2400	5.5100	5.4700	1.9600	2.3000	2.3500
16	4.1700	5.0900	5.1600	4.9900	2.3500	2.3000	2.2700	1.5000	1.5900	1.7100	5.1200	5.3900	5.1400	2.2400	2.0400	2.2600	5.1600	5.3600	5.1500	2.1100	2.0200	2.2400
32	4.0500	5.0300	4.6400	4.5600	3.5500	2.8200	2.5800	1.7600	1.7400	1.5700	5.2700	4.7500	4.7300	3.4000	2.3100	2.1300	5.2700	4.7900	4.6900	3.2300	2.2900	2.1200
64	5.2600	7.1000	5.8200	5.7400	6.6500	5.0100	3.1900	3.3200	2.1700	2.0200	8.1700	5.9600	5.7700	6.5700	4.1300	2.9700	8.0400	5.9400	5.8000	6.1300	4.1400	2.9400
128	8.6300	11.550	9.6200	9.1000	13.080	9.0700	5.9600	6.8100	4.2100	3.3300	12.640	10.240	8.9400	13.340	7.8900	5.9400	12.240	9.9200	8.9500	12.260	8.1500	6.0000
256	16.790	20.250	17.290	16.700	26.170	17.580	11.750	14.180	8.3400	6.5400	24.290	18.600	16.700	26.200	16.110	11.930	23.090	18.310	16.670	24.540	16.370	11.930
512	34.810	41.320	35.430	34.690	53.710	33.750	24.030	29.870	16.220	12.650	49.870	37.350	34.490	52.890	31.570	23.970	44.670	36.930	34.350	49.930	32.570	24.010
1024	72.850	87.070	74.770	72.680	113.96	68.470	48.610	62.190	34.100	25.360	99.750	80.920	72.080	109.82	64.670	48.210	96.650	80.870	72.070	105.29	65.940	48.320
