#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	0.35	0.43	0.29	0.44
2	0.32	0.28	0.33	0.33
4	0.30	0.31	0.31	0.31
8	0.33	0.39	0.42	0.42
16	0.60	0.71	0.70	0.69
32	1.20	1.30	1.30	1.29
64	2.58	2.73	2.76	2.74
128	9.23	9.22	9.22	9.24
256	22.65	22.68	22.66	22.72


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	0.35	0.45	0.44	0.42
2	0.32	0.33	0.32	0.33
4	0.27	0.28	0.27	0.29
8	0.31	0.43	0.49	0.46
16	0.67	0.85	0.85	0.74
32	1.47	1.58	1.57	1.58
64	3.29	3.25	3.23	3.35
128	10.44	10.51	10.56	10.44
256	25.73	26.08	26.04	25.82


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	0.13	0.43	0.43	0.46
2	0.27	0.38	0.38	0.38
4	0.31	0.34	0.33	0.33
8	0.32	0.53	0.51	0.49
16	0.79	0.89	0.85	0.89
32	1.56	1.69	1.67	1.67
64	3.36	3.57	3.45	3.47
128	10.24	10.19	10.03	10.04
256	22.92	22.90	22.50	22.51


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	0.36	0.29	0.46	0.47
2	0.31	0.35	0.29	0.31
4	0.30	0.37	0.38	0.39
8	0.45	0.53	0.55	0.57
16	0.78	1.08	1.06	1.10
32	1.87	2.05	2.05	2.05
64	3.83	3.94	3.95	3.94
128	7.59	7.71	7.73	7.73
256	22.17	22.29	22.53	22.25


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	0.34	0.44	0.38	0.44
2	0.29	0.38	0.31	0.41
4	0.29	0.33	0.33	0.37
8	0.30	0.40	0.37	0.36
16	0.46	0.51	0.51	0.51
32	0.88	0.92	0.93	0.93
64	1.79	1.88	1.89	1.89
128	6.51	6.66	6.70	6.69
256	16.38	16.37	16.34	16.35


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	0.12	0.44	0.43	0.40
2	0.23	0.37	0.35	0.32
4	0.28	0.37	0.35	0.27
8	0.32	0.39	0.39	0.35
16	0.55	0.61	0.62	0.61
32	1.04	1.12	1.13	1.13
64	2.25	2.33	2.33	2.35
128	7.86	8.09	8.09	8.12
256	19.69	19.78	19.90	19.89


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	0.35	0.46	0.47	0.45
2	0.35	0.38	0.42	0.39
4	0.31	0.32	0.40	0.37
8	0.34	0.37	0.39	0.41
16	0.58	0.65	0.64	0.66
32	1.10	1.19	1.19	1.20
64	2.35	2.49	2.50	2.50
128	8.38	8.53	8.56	8.58
256	20.79	20.94	20.96	21.07


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	0.36	0.45	0.36	0.44
2	0.32	0.35	0.34	0.35
4	0.31	0.42	0.40	0.42
8	0.41	0.59	0.60	0.59
16	0.80	1.08	1.00	1.08
32	1.86	2.05	2.08	2.04
64	3.76	3.91	4.01	3.94
128	7.47	7.65	7.69	7.69
256	22.03	22.03	22.20	22.77


