#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	0.28	0.19	0.32	0.34
2	0.25	0.25	0.27	0.19
4	0.26	0.28	0.31	0.26
8	0.25	0.32	0.34	0.28
16	0.42	0.60	0.60	0.59
32	1.09	1.19	1.20	1.19
64	2.41	2.48	2.50	2.48
128	4.90	4.96	4.99	5.00
256	9.99	9.94	9.94	9.95


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	0.27	0.33	0.32	0.34
2	0.25	0.28	0.27	0.28
4	0.24	0.31	0.24	0.27
8	0.22	0.37	0.37	0.37
16	0.48	0.74	0.67	0.71
32	1.34	1.47	1.39	1.43
64	2.84	3.03	2.92	2.99
128	5.85	6.06	5.83	6.06
256	11.84	12.07	11.71	12.17


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	0.30	0.36	0.34	0.34
2	0.26	0.28	0.16	0.20
4	0.26	0.28	0.30	0.28
8	0.29	0.44	0.41	0.42
16	0.46	0.86	0.87	0.83
32	1.44	1.85	1.90	1.77
64	3.30	3.83	3.85	3.81
128	6.89	7.63	7.89	7.67
256	15.25	15.27	15.43	15.32


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	0.29	0.18	0.36	0.29
2	0.26	0.31	0.28	0.25
4	0.26	0.32	0.33	0.32
8	0.35	0.46	0.45	0.41
16	0.68	0.91	0.89	0.86
32	1.66	1.80	1.79	1.74
64	3.37	3.58	3.56	3.58
128	7.06	7.16	7.16	7.16
256	14.69	14.90	14.42	14.46


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	0.29	0.28	0.37	0.29
2	0.26	0.16	0.29	0.26
4	0.25	0.30	0.28	0.29
8	0.29	0.28	0.29	0.29
16	0.36	0.43	0.43	0.43
32	0.85	0.86	0.87	0.87
64	1.77	1.82	1.83	1.82
128	3.57	3.64	3.66	3.66
256	7.32	7.30	7.31	7.34


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	0.28	0.37	0.35	0.37
2	0.25	0.30	0.27	0.30
4	0.24	0.28	0.27	0.30
8	0.24	0.33	0.32	0.32
16	0.48	0.55	0.56	0.56
32	1.04	1.11	1.11	1.11
64	2.17	2.27	2.28	2.30
128	4.50	4.57	4.58	4.59
256	9.09	9.12	9.12	9.14


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	0.29	0.37	0.37	0.38
2	0.20	0.15	0.36	0.32
4	0.23	0.32	0.32	0.31
8	0.25	0.32	0.31	0.33
16	0.50	0.59	0.59	0.59
32	1.08	1.18	1.18	1.18
64	2.32	2.41	2.42	2.43
128	4.80	4.84	4.84	4.86
256	9.64	9.69	9.70	9.71


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	0.32	0.37	0.38	0.39
2	0.26	0.29	0.28	0.30
4	0.28	0.34	0.33	0.34
8	0.35	0.46	0.46	0.41
16	0.62	0.90	0.92	0.92
32	1.69	1.79	1.84	1.84
64	3.52	3.61	3.68	3.67
128	7.20	7.33	7.36	7.35
256	14.62	14.71	14.77	14.81


