#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	9043.5	3104.3	2885.6	3173.6
2	10734	8164.7	7901.4	8167.4
4	18904	18450	18923	19549
8	33362	26247	26081	29660
16	36583	28775	29351	29579
32	32867	28969	28673	28520
64	28705	27737	27727	27694
128	27899	27488	27839	27637
256	27750	27671	27776	27842


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	3618.1	3291.4	3293.5	3339.1
2	13262	9905.0	8063.3	7422.7
4	21192	17186	17521	15983
8	33322	24319	23331	26493
16	44848	24543	24602	24256
32	26525	23939	24430	23807
64	25017	23240	23851	23641
128	24067	23260	23874	23764
256	23747	23244	23874	23597


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	3533.7	4508.7	3008.2	4929.7
2	8257.0	10788	7330.0	8105.8
4	17477	13133	15150	20196
8	31026	24772	22456	25594
16	33197	23383	21800	23572
32	25798	22427	22754	22371
64	22675	21356	22461	21110
128	21752	21844	22367	21205
256	22407	22233	22413	21085


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	7612.8	2799.3	6019.1	2777.4
2	8539.8	7207.2	7613.0	7406.5
4	13431	12096	12778	12645
8	22421	17013	19804	17893
16	23673	17420	17499	18015
32	19720	17629	17674	17476
64	17964	17691	17725	17394
128	17613	17704	17702	17556
256	17336	17508	17495	17166


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	3718.3	3217.8	2854.7	4355.4
2	13380	8114.3	8871.7	7846.3
4	17798	15855	16948	15063
8	35774	31529	30425	31102
16	49728	42886	42917	42665
32	45353	43080	42834	42769
64	42288	40620	40628	40359
128	41793	40506	40387	40174
256	40395	40417	40352	40222


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	3681.9	3630.9	2861.3	2977.9
2	9128.1	10435	10440	7662.1
4	17574	21420	17446	15413
8	35307	29380	28498	28742
16	45037	33982	33897	33973
32	36874	34110	34005	33815
64	33908	32732	32638	32503
128	33777	32717	32560	32508
256	32792	32570	32578	32508


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	3557.7	3569.4	2850.1	2829.5
2	9179.4	8104.1	9193.5	6531.0
4	21109	14048	16490	13760
8	32848	28059	28003	27664
16	36589	31425	31908	31900
32	35076	31691	31849	31797
64	32384	30725	30528	30567
128	31356	30689	30537	30539
256	30787	30632	30479	30474


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	3224.7	2780.0	2773.7	2726.3
2	9401.8	6604.2	8883.3	6877.7
4	16189	12837	13420	14892
8	25733	19109	17971	18461
16	23644	16879	20085	16964
32	19532	17239	17611	17271
64	18483	17274	17499	17302
128	17573	17283	17366	17257
256	17267	17185	16929	17163


