# average response time in milliseconds
# res01 = MySQL-5.6.10
# res02 = MySQL-5.6.10 (tcmalloc)
# res03 = MariaDB-10.0.1
# res04 = MariaDB-10.0.1 (tcmalloc)
# res05 = MySQL-5.5.30
# res06 = MySQL-5.5.30 (tcmalloc)
# res07 = MariaDB-5.5.30
# res08 = MariaDB-5.5.30 (tcmalloc)

#thd	res01	res02	res03	res04	res05	res06	res07	res08

1	1.64	1.60	1.48	1.44	1.50	1.45	1.45	1.40
2	1.49	1.47	1.45	1.41	1.41	1.36	1.41	1.35
4	1.62	1.54	1.57	1.49	1.54	1.48	1.49	1.38
8	1.70	1.59	1.67	1.59	1.66	1.60	1.60	1.55
16	1.87	1.74	2.05	2.01	2.09	1.99	2.07	1.98
32	2.25	2.03	3.40	3.33	3.38	3.28	3.32	3.22
64	4.35	3.30	7.29	7.15	6.69	6.27	6.90	6.60
128	9.98	8.00	13.85	13.75	13.07	12.47	13.18	12.59
256	23.08	20.21	28.05	28.32	28.95	27.55	27.01	26.32
512	57.94	49.52	66.04	62.30	69.09	66.56	63.15	58.96
1024	187.03	151.73	557.89	145.57	350.50	196.22	327.26	181.27
