# transactions per second
# res01 = MySQL-5.6.10
# res02 = MySQL-5.6.10 (tcmalloc)
# res03 = MariaDB-10.0.1
# res04 = MariaDB-10.0.1 (tcmalloc)
# res05 = MySQL-5.5.30
# res06 = MySQL-5.5.30 (tcmalloc)
# res07 = MariaDB-5.5.30
# res08 = MariaDB-5.5.30 (tcmalloc)

#thd	res01	res02	res03	res04	res05	res06	res07	res08

1	609.25	624.90	677.13	694.39	665.87	687.59	690.82	712.57
2	1341.6	1354.9	1378.4	1414.2	1415.2	1468.3	1415.6	1477.9
4	2469.3	2599.7	2539.7	2680.5	2601.5	2696.4	2686.7	2891.7
8	4696.4	5014.2	4792.5	5025.6	4823.4	4999.4	4992.0	5154.7
16	8552.6	9208.1	7780.9	7945.6	7656.7	8039.1	7717.8	8091.3
32	14179	15717	9401.1	9594.6	9445.4	9739.8	9642.0	9928.3
64	14715	19395	8772.1	8950.3	9567.1	10204	9276.2	9685.0
128	12822	16000	9237.6	9308.8	9792.2	10257	9708.7	10164
256	11089	12665	9124.1	9038.9	8842.5	9290.5	9477.0	9723.6
512	8835.4	10336	7751.6	8216.3	7409.9	7690.5	8106.9	8681.8
1024	5473.0	6747.3	1834.2	7030.6	2920.3	5216.4	3128.0	5645.7
