# 95 percentile response time in milliseconds
# res01 = MySQL-5.6.10
# res02 = MySQL-5.6.10 (segmented toc)
# res04 = MariaDB-10.0.1
# res06 = MySQL-5.5.30
# res08 = MariaDB-5.5.30

#thd	res01	res02	res04	res06	res08

1	1.87	1.86	1.73	1.75	1.68
2	1.63	1.56	1.54	1.41	1.38
4	1.67	1.58	1.54	1.43	1.43
8	1.87	1.80	1.73	1.78	1.72
16	1.97	1.94	2.28	2.24	2.24
32	2.41	2.05	3.64	3.61	3.59
64	8.74	3.73	9.65	8.57	9.16
128	15.51	10.22	18.11	16.51	16.43
256	36.71	27.84	42.22	40.18	39.08
512	134.54	117.30	138.38	124.24	121.92
1024	474.56	425.95	498.43	392.41	416.49
