# average response time in milliseconds
# res01 = MySQL-5.6.10
# res02 = MySQL-5.6.10 (segmented toc)
# res04 = MariaDB-10.0.1
# res06 = MySQL-5.5.30
# res08 = MariaDB-5.5.30

#thd	res01	res02	res04	res06	res08

1	1.61	1.60	1.44	1.46	1.40
2	1.51	1.43	1.36	1.32	1.29
4	1.57	1.49	1.42	1.35	1.34
8	1.61	1.56	1.51	1.58	1.49
16	1.74	1.71	1.96	1.93	1.92
32	2.19	1.98	3.22	3.24	3.19
64	6.15	2.94	6.79	5.99	6.43
128	11.69	6.35	13.13	11.88	12.52
256	24.41	16.23	27.88	25.64	26.46
512	67.07	51.91	73.80	63.80	66.21
1024	215.40	186.41	229.90	177.68	195.01
