# transactions per second
# res01 = MySQL-5.6.10
# res02 = MySQL-5.6.10 (segmented toc)
# res04 = MariaDB-10.0.1
# res06 = MySQL-5.5.30
# res08 = MariaDB-5.5.30

#thd	res01	res02	res04	res06	res08

1	620.75	625.81	693.69	682.74	715.63
2	1323.1	1391.8	1464.7	1509.3	1546.8
4	2536.9	2676.3	2809.8	2951.8	2975.3
8	4952.5	5112.1	5294.1	5053.2	5364.3
16	9173.9	9340.3	8136.5	8295.6	8323.4
32	14571	16159	9924.1	9863.6	10007
64	10403	21731	9418.4	10682	9940.5
128	10947	20137	9747.0	10766	10223
256	10484	15772	9180.4	9982.4	9671.3
512	7632.4	9862.0	6936.6	8023.2	7731.4
1024	4752.2	5491.4	4451.8	5761.0	5248.7
