# data set 01 -> double write
# data set 02 -> atomic write
# data set 03 -> fast checksum
# data set 04 -> no checksum


# read only
#thd	01	02	03	04
1	6.51	5.78	5.26	5.31
2	5.82	5.77	5.53	5.23
4	5.49	5.43	5.21	4.93
8	5.78	6.27	5.41	5.31
16	11.65	11.54	11.62	11.64
32	35.09	35.29	35.01	33.94
64	72.32	60.54	53.03	50.72
128	142.12	109.30	92.05	87.06
256	142.97	143.23	200.57	195.01


# read/write
#thd	01	02	03	04
1	14.58	9.74	10.11	7.54
2	17.96	13.07	14.83	7.38
4	22.77	13.83	11.36	10.63
8	31.21	19.45	16.11	16.11
16	48.03	28.10	24.15	23.59
32	73.36	46.91	43.81	42.71
64	107.10	77.38	69.20	66.98
128	218.89	144.82	123.76	118.11
256	464.58	333.74	299.73	286.06
