# data set 01 -> double write
# data set 02 -> atomic write
# data set 03 -> fast checksum
# data set 04 -> no checksum


# read only
#thd	01	02	03	04
1	5.14	4.70	4.28	4.37
2	4.78	4.77	4.50	4.23
4	4.50	4.44	4.06	4.07
8	4.62	4.78	4.35	4.25
16	6.38	6.37	6.15	6.08
32	10.87	10.86	10.70	10.66
64	22.55	21.90	21.69	21.61
128	45.04	43.85	43.29	43.22
256	84.79	84.78	87.43	87.36


# read/write
#thd	01	02	03	04
1	6.26	6.08	5.56	5.41
2	6.31	5.83	5.28	5.10
4	7.35	6.30	5.72	5.50
8	9.63	7.53	6.80	6.58
16	15.17	11.26	10.18	9.94
32	26.48	19.81	18.42	18.10
64	49.73	38.25	35.69	34.90
128	101.09	77.43	70.15	68.24
256	224.67	170.09	161.38	158.18
