query	min	avg	max	STDDEV%
1	0.6573	0.68047160	0.8845	9.99216261
2	0.1461	0.14696820	0.1474	0.26845466
3	0.2401	0.24335720	0.2550	1.77249026
4	3.0453	3.05648850	3.0807	0.31589307
5	0.0013	0.00131950	0.0014	1.77516325
6	0.0010	0.00107870	0.0012	4.04875362
7	0.1771	0.18594080	0.1968	4.31407306
8	0.1848	0.18623810	0.1907	1.02654865
9	0.6642	0.67124040	0.7204	2.44514706
10	0.9276	0.93393850	0.9630	1.05215057
11	0.0009	0.00099130	0.0012	9.64297860
12	0.1781	0.18329080	0.1964	3.53288304
13	0.0014	0.00142750	0.0015	3.03679980
14	0.0011	0.00115410	0.0012	1.90050810
15	0.0013	0.00132020	0.0013	1.33399182
16	0.0011	0.00112040	0.0012	3.90197527
17	0.0011	0.00111050	0.0011	1.82702924
18	2.2305	2.27464930	2.3246	1.26057645
19	0.8252	0.82605730	0.8282	0.09934418
20	0.8243	0.82510100	0.8259	0.05352663
21	15.7014	15.82811180	16.2472	0.95086496
