# data set 01 -> MyRocks (10.3.6), from memory
# data set 02 -> MyRocks (10.3.6), IO bound
# data set 03 -> InnoDB (10.3.10), from memory
# data set 04 -> InnoDB (10.3.10), IO bound
# data set 05 -> MyRocks (10.3.10), from memory
# data set 06 -> MyRocks (10.3.10), IO bound


# read-only
#thd	01	02	03	04	05	06
1	5.7000	5.5500	1.6800	8.8700	4.3000	4.0400
2	2.7800	3.7900	1.6300	7.5600	2.5300	3.2900
4	2.9200	3.7000	1.6000	6.5500	2.5600	3.3700
8	3.2900	4.7200	1.9200	6.3500	2.7300	3.8700
16	3.3800	5.1200	1.7300	7.0500	3.0900	3.6800
32	6.4900	8.7000	2.3400	9.6300	5.5600	7.2400
64	22.090	25.980	4.9100	17.920	10.210	18.160
128	75.770	87.140	9.9100	38.200	20.260	26.340
256	215.58	229.22	48.780	89.150	75.460	79.680


# read/write (22% writes)
#thd	01	02	03	04	05	06
1	7.2100	7.3000	6.3400	12.480	6.9300	7.2100
2	6.3500	7.5300	7.3000	20.910	6.2900	7.3500
4	7.7900	8.9400	8.8500	28.340	7.6500	8.4800
8	12.950	12.580	9.2900	34.590	12.660	11.840
16	17.740	18.310	10.150	40.780	17.550	18.600
32	34.940	33.710	10.830	63.470	34.590	33.740
64	81.510	84.870	12.920	194.83	82.670	88.990
128	198.54	193.90	23.370	444.71	187.06	194.37
256	485.62	441.26	52.750	842.87	446.44	444.71


# read/write (50% writes)
#thd	01	02	03	04	05	06
1	5.7000	7.1100	7.6300	28.560	5.9200	6.4600
2	7.2000	9.0000	9.4000	36.790	7.1500	8.9400
4	8.5700	10.510	11.230	39.610	8.3000	10.160
8	11.300	11.870	12.300	46.360	11.370	11.790
16	15.450	16.460	12.300	65.260	15.470	16.660
32	29.620	27.050	12.450	148.55	26.050	26.820
64	80.810	68.460	16.920	374.28	63.160	66.760
128	217.85	169.67	32.720	893.53	155.38	162.41
256	612.05	421.38	73.050	1829.5	381.52	393.35


# read/write (80% writes)
#thd	01	02	03	04	05	06
1	10.750	14.080	13.230	70.410	10.840	14.550
2	14.170	16.850	13.960	82.470	13.860	17.880
4	15.080	20.950	14.900	88.190	15.070	20.210
8	15.500	19.920	15.890	102.12	15.310	19.580
16	18.200	20.920	16.480	258.22	18.350	21.000
32	33.930	35.520	20.470	515.27	40.870	35.230
64	75.210	69.430	34.640	1034.7	58.260	68.090
128	298.75	141.61	73.230	2275.6	129.91	140.00
256	721.37	362.26	192.51	6291.0	616.83	391.12


# read/write (100% writes)
#thd	01	02	03	04	05	06
1	5.0100	5.3600	6.5900	22.680	5.0200	5.1200
2	4.8600	6.3300	8.6200	26.070	4.8700	5.8000
4	7.1000	7.3500	10.100	27.120	7.0700	7.3700
8	11.050	10.220	11.300	35.170	11.190	10.390
16	15.520	14.620	10.680	96.680	15.790	14.750
32	30.440	26.820	12.200	216.55	29.390	26.910
64	69.200	66.520	13.600	446.58	68.580	65.400
128	146.74	159.05	25.040	961.52	152.43	152.11
256	386.35	404.81	74.620	2399.5	340.80	349.06
