# data set 01 -> MyRocks (10.3.6), from memory
# data set 02 -> MyRocks (10.3.6), IO bound
# data set 03 -> InnoDB (10.3.10), from memory
# data set 04 -> InnoDB (10.3.10), IO bound
# data set 05 -> MyRocks (10.3.10), from memory
# data set 06 -> MyRocks (10.3.10), IO bound


# read-only
#thd	01	02	03	04	05	06
1	4.0600	4.0500	1.2900	6.8900	3.1600	3.1500
2	2.1700	3.0000	1.3100	5.9200	1.9500	2.6500
4	2.3500	3.1400	1.3500	5.1900	2.1500	2.8200
8	2.5200	3.4700	1.4800	4.9500	2.2400	3.0400
16	2.7200	3.7900	1.6100	5.5000	2.3400	3.0900
32	4.3900	5.8900	2.2500	7.3600	3.4100	4.8400
64	11.330	13.810	4.5500	13.000	7.0800	10.550
128	28.650	34.120	9.3100	25.380	15.880	20.890
256	73.330	81.090	18.510	51.190	32.710	42.620


# read/write (22% writes)
#thd	01	02	03	04	05	06
1	5.5000	5.5900	4.2900	9.2000	5.4800	5.3600
2	4.9800	5.4100	4.7200	11.260	4.9000	5.3900
4	5.7400	6.2900	5.6400	14.970	5.6000	5.9800
8	7.2000	7.8600	5.8400	20.230	7.0900	7.4100
16	9.2500	10.070	6.0600	25.000	9.3000	10.270
32	16.000	16.300	6.3100	34.600	15.820	16.330
64	31.530	33.560	8.2600	67.010	32.170	35.010
128	96.720	69.740	13.950	120.83	67.250	70.700
256	286.27	151.33	26.660	230.94	154.38	155.19


# read/write (50% writes)
#thd	01	02	03	04	05	06
1	4.6200	5.5300	5.3700	13.750	4.6500	5.4100
2	5.2900	6.4300	6.0800	16.940	5.2700	6.4900
4	6.2400	7.3700	6.8600	21.400	6.0800	7.1400
8	7.3100	8.3700	7.1400	28.680	7.3800	8.2000
16	9.3900	10.550	7.4400	41.920	9.4700	10.680
32	14.790	15.280	8.1900	69.540	14.040	15.210
64	31.560	30.410	10.910	145.30	27.460	29.980
128	78.320	64.470	19.270	301.71	58.600	62.210
256	310.15	146.65	36.720	657.32	134.89	139.76


# read/write (80% writes)
#thd	01	02	03	04	05	06
1	8.9300	11.690	9.1000	30.230	8.8300	11.590
2	10.220	12.470	9.5600	36.650	10.140	12.590
4	11.000	14.520	10.000	45.080	11.030	14.230
8	11.730	14.680	10.700	65.880	11.660	14.530
16	13.520	16.230	11.030	119.07	13.640	16.210
32	20.930	23.910	13.500	251.69	22.260	23.610
64	39.090	42.820	22.140	512.03	34.570	42.100
128	129.08	84.550	42.750	1065.4	70.000	83.140
256	443.15	179.36	95.040	2775.6	214.39	182.08


# read/write (100% writes)
#thd	01	02	03	04	05	06
1	3.5700	3.8500	4.3600	9.9000	3.6400	3.7900
2	3.4700	4.5000	5.1900	12.400	3.4800	4.1300
4	4.8200	5.3100	5.7500	15.650	4.9400	5.2700
8	6.3100	6.3900	6.2900	22.140	6.3300	6.4200
16	8.5400	8.5900	6.3300	38.150	8.6200	8.6100
32	13.790	13.220	7.1200	75.570	13.590	13.210
64	27.000	26.490	8.5000	142.67	26.550	25.990
128	53.110	57.210	13.270	303.51	54.360	54.740
256	133.86	138.10	29.740	776.48	118.77	121.24
