# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	7190.6	7957.9	7760.8	5836.8	6985.1	7424.1
2	13620	14281	14381	11351	13059	14700
4	25774	26490	25848	20998	24909	27720
8	43639	50592	49000	37490	40944	50633
16	77846	90735	86146	74688	71132	97882
32	107915	127127	125498	101969	109319	143197
64	109658	119059	115465	98180	110198	142766
128	107390	122276	119862	95615	109387	142814
256	105819	122090	120194	100482	107865	142503


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	2312.3	2426.7	2443.9	935.98	1506.4	2499.3
2	4375.7	4657.1	4438.7	1866.5	2856.2	4857.4
4	7784.9	7997.9	7844.0	3556.3	5420.3	8835.5
8	14696	14911	14858	6093.4	9663.0	15167
16	30473	33446	31575	13126	20442	36110
32	39032	42194	41346	17114	25005	46566
64	38877	40645	39842	16983	25104	47131
128	38532	40684	39669	16882	24949	45783
256	37959	40746	40148	17305	25055	47195
