# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	1.7200	1.5700	1.6200	2.1000	1.7800	1.6900
2	1.7700	1.6400	1.6900	2.1200	1.8500	1.6200
4	1.7400	1.7300	1.7900	2.2100	1.8500	1.6100
8	2.4000	1.9300	2.0200	2.5100	2.1300	2.0500
16	2.2400	1.9100	2.0400	2.3200	2.4100	1.7500
32	3.1300	2.7200	2.8800	3.4200	3.1400	2.3500
64	8.2200	6.0500	6.2000	7.3100	6.5800	6.6100
128	13.810	11.720	12.050	15.040	13.110	9.4500
256	46.660	44.380	44.570	51.410	44.330	44.510


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	5.3100	5.0400	4.9400	13.630	8.2900	5.0300
2	5.6500	5.3200	5.5100	11.570	7.8600	4.7400
4	5.7400	5.5000	5.6700	13.660	8.2900	4.8600
8	6.1600	7.1300	5.8500	14.410	8.9000	7.4900
16	5.4400	4.9700	5.2100	12.530	8.1100	4.5200
32	8.3600	7.8800	8.1300	19.250	13.250	7.0300
64	17.740	16.700	17.060	39.910	27.110	14.320
128	39.060	33.580	38.030	88.750	55.200	28.900
256	92.350	90.030	93.600	195.42	133.70	84.800
