# data set 01 -> mariadb-10.1.36
# data set 02 -> mariadb-10.2.18
# data set 03 -> mariadb-10.3.9
# data set 04 -> mysql-5.6.36
# data set 05 -> mysql-5.7.21
# data set 06 -> mysql-8.0.11


# read-only (short ranges)
#thd	01	02	03	04	05	06
1	1.3900	1.2600	1.2900	1.7100	1.4300	1.3500
2	1.4700	1.4000	1.3900	1.7600	1.5300	1.3600
4	1.5500	1.5100	1.5500	1.9000	1.6000	1.4400
8	1.8300	1.5800	1.6300	2.1300	1.9500	1.5800
16	2.0500	1.7600	1.8600	2.1400	2.2500	1.6300
32	2.9600	2.4400	2.5500	3.1400	2.9300	2.2300
64	5.8300	5.3700	5.5400	6.5200	5.8100	4.4800
128	11.920	10.470	10.680	13.380	11.700	8.9600
256	24.150	20.940	21.270	25.450	23.690	17.930


# read-only (long ranges)
#thd	01	02	03	04	05	06
1	4.3200	4.1200	4.0900	10.680	6.6400	4.0000
2	4.5700	4.2900	4.5000	10.710	7.0000	4.1200
4	5.1400	5.0000	5.1000	11.240	7.3800	4.5300
8	5.4400	5.3600	5.3800	13.130	8.2800	5.2700
16	5.2500	4.7800	5.0700	12.190	7.8300	4.4300
32	8.1900	7.5800	7.7400	18.690	12.790	6.8700
64	16.460	15.740	16.060	37.680	25.490	13.580
128	33.190	31.460	32.260	75.790	51.290	27.950
256	67.270	62.780	63.740	147.83	102.12	54.220
