# connection 02 -> direct, remote
# connection 10 -> 2.2.2-tt3, 4 threads
# connection 11 -> 2.2.2-tt3, 8 threads
# connection 12 -> 2.2.2-tt3, 16 threads
# connection 13 -> 2.2.2-tt3, cache, 4 threads
# connection 14 -> 2.2.2-tt3, cache, 8 threads
# connection 15 -> 2.2.2-tt3, cache, 16 threads
# connection 16 -> 2.2.2-tt3, cache+assume_cacheable, 4 threads
# connection 17 -> 2.2.2-tt3, cache+assume_cacheable, 8 threads
# connection 18 -> 2.2.2-tt3, cache+assume_cacheable, 16 threads
# connection 20 -> 2.1.3, 4 threads
# connection 21 -> 2.1.3, 8 threads
# connection 22 -> 2.1.3, 16 threads
# connection 23 -> 2.1.3, cache, 4 threads
# connection 24 -> 2.1.3, cache, 8 threads
# connection 25 -> 2.1.3, cache, 16 threads
# connection 30 -> 2.1.13, 4 threads
# connection 31 -> 2.1.13, 8 threads
# connection 32 -> 2.1.13, 16 threads
# connection 33 -> 2.1.13, cache, 4 threads
# connection 34 -> 2.1.13, cache, 8 threads
# connection 35 -> 2.1.13, cache, 16 threads

# workload 02 -> OLTP(ro)

#thd	02	10	11	12	13	14	15	16	17	18	20	21	22	23	24	25	30	31	32	33	34	35
4	14437	12243	12660	11666	31852	31534	27646	38825	35625	38469	11825	11976	11807	27958	28882	28741	11818	12006	11916	28845	29513	29138
8	34102	27539	25996	25251	67569	62991	63749	92433	89871	72346	27079	26301	25820	75321	62472	61390	26639	25900	26264	73375	62585	61697
16	68202	58390	59555	58551	117638	117300	128430	212883	194250	187299	59520	57865	59655	120212	143717	122903	58332	58232	59423	135294	143788	122379
32	130731	109870	118302	118831	130596	184401	212458	298468	361435	361516	115117	118009	118954	143394	220178	255756	114548	118142	119087	152380	220282	261190
64	202860	170797	187303	190230	145011	204652	297998	316791	523770	547133	175150	190552	189624	149473	233873	342061	176033	190176	189409	158780	243257	340056
128	237624	203651	234213	234928	147823	211688	311212	304828	525487	628359	205174	235129	235276	151763	258623	326944	205708	234898	235365	157771	244797	328218
256	238617	225233	242832	243555	147699	212731	318709	298884	519852	659437	223149	243399	243667	149721	250612	329509	224519	243895	244128	160580	246561	329888
512	227196	222042	233878	233938	147412	220116	319278	287330	520153	648851	223754	234450	234485	150258	247950	331192	228383	234795	235253	155548	244638	330804
1024	215613	207742	217211	217054	134711	217564	318059	263445	483736	630259	201457	217364	217761	143149	247893	328917	201196	217924	218278	149883	248973	326030

# workload 06 -> OLTP(rw)

#thd	02	10	11	12	13	14	15	16	17	18	20	21	22	23	24	25	30	31	32	33	34	35
4	14088	11055	10956	11246	28180	25812	24704	34513	29511	30094	10669	10334	10469	25328	25458	25363	10735	10526	10502	25469	25973	25187
8	29141	22474	23077	21983	55307	47156	46995	68276	61923	56469	21801	21339	21304	59096	50360	48558	22378	21285	21409	58471	49909	48807
16	55580	45532	45009	46459	97275	99257	100667	151132	143500	133308	45352	43195	45270	102254	111905	100981	45027	43441	45198	108097	112761	102072
32	114307	92408	99869	101593	129667	162823	177551	258116	261502	290562	88245	97859	98148	135192	198164	214320	88220	97051	98939	142241	199896	215666
64	176822	131505	159806	162188	139331	185131	288253	276885	421778	452537	114534	156366	161313	141316	223627	309865	116140	156853	160683	151267	223034	312199
128	215783	162289	194609	205484	142862	204209	310330	272083	436929	551871	148517	183042	209111	140205	235978	311692	153369	188991	208862	152420	228534	308326
256	221558	185624	216360	222929	143446	212962	316273	263466	443413	562592	155253	201998	222799	143464	232444	313298	163256	205026	223321	153098	228827	313181
512	212113	182408	208931	212167	140302	222274	311119	251425	459611	586611	151713	200847	214133	142531	239980	313436	168719	203154	215285	151087	230863	313279
1024	201409	172685	194998	201702	132161	219504	308294	241099	438936	586850	151665	184684	203890	137451	234326	311921	156159	184809	204042	143505	228507	311723
