#sysbench read/only, long ranges, small buffer pool, single table
#QPS
#
#thread count       	1	16	32	64
mariadb-5.5.20      	---	---	---	---
mariadb-5.5.21      	2722.8	24139	29088	31491
mariadb-5.5.22      	4146.2	22275	32007	32817
mariadb-5.5.23      	4101.9	22583	32096	32849
mariadb-5.5.24      	4024.7	22575	32423	33097
mariadb-5.5.25      	3980.9	22704	32222	33044
mariadb-5.5.27      	3980.9	23234	32099	33103
mariadb-5.5.28      	4054.0	22757	32130	32956
mariadb-5.5.29      	4030.3	22938	32522	33164
mariadb-5.5.30      	4032.4	23719	32267	33554
mariadb-5.5.33      	3799.3	22426	32065	32417
mariadb-5.5.34      	4045.9	22871	32255	32681
mariadb-5.5.35      	3919.8	22492	31846	32377
mariadb-5.5.36      	4035.3	22514	31803	32263
mariadb-5.5.37      	3953.4	22423	32115	32534
mariadb-5.5.38      	4048.6	22374	32014	32388
mariadb-5.5.39      	3951.2	22373	31903	32284
mariadb-5.5.40      	3954.8	22044	31760	32300
mariadb-5.5.41      	4067.7	22185	31599	32046
mariadb-5.5.42      	4010.7	22211	31846	32262
mariadb-5.5.43      	4005.4	22099	31594	32263
mariadb-5.5.44      	4050.1	22060	31817	32341
mariadb-5.5.45      	3992.6	22537	32040	32380
mariadb-5.5.46      	4081.7	22500	32186	32719
mariadb-5.5.47      	3977.4	22687	32140	32601
mariadb-5.5.48      	3748.2	22435	31780	32222
mariadb-5.5.49      	3781.7	22632	32232	33212
mariadb-5.5.50      	3673.0	22455	31911	32692
mariadb-5.5.51      	3583.0	22517	31739	32285
mariadb-5.5.52      	3573.0	23015	32001	32462
mariadb-5.5.53      	3604.0	22673	31946	32328
mariadb-5.5.54      	3625.1	22797	32097	32748
mariadb-5.5.55      	3498.3	22471	31590	31834
mariadb-5.5.56      	3480.6	22516	31783	32305
mariadb-5.5.57      	3506.3	22591	31821	32127
mariadb-5.5.58      	3376.5	23387	32287	32845
mariadb-5.5.59      	3698.7	22727	31888	32127
mariadb-10.0.7      	3237.9	40040	48281	48342
mariadb-10.0.8      	3170.4	39083	46130	47042
mariadb-10.0.9      	3290.1	36148	49074	50450
mariadb-10.0.10     	3306.6	35244	50394	49372
mariadb-10.0.11     	3229.7	38901	44138	50842
mariadb-10.0.12     	3340.8	38774	46925	48169
mariadb-10.0.13     	3364.7	40449	48340	52818
mariadb-10.0.14     	3475.8	42226	53657	53451
mariadb-10.0.15     	3457.9	37629	46332	47503
mariadb-10.0.16     	3264.1	39503	46980	46297
mariadb-10.0.17     	3340.8	39085	48018	47104
mariadb-10.0.18     	3362.0	39606	46154	48165
mariadb-10.0.19     	3472.3	38894	46903	46849
mariadb-10.0.20     	3475.0	38704	45236	48188
mariadb-10.0.21     	3452.5	32601	47253	46037
mariadb-10.0.22     	3109.6	38929	46139	47143
mariadb-10.0.23     	3507.3	38848	46615	47591
mariadb-10.0.24     	3172.2	9346.2	9592.7	9824.3
mariadb-10.0.25     	3228.3	12632	11624	10232
mariadb-10.0.26     	3325.0	12389	9249.8	8691.2
mariadb-10.0.27     	3229.1	13030	11127	10027
mariadb-10.0.28     	3325.1	12631	11355	10149
mariadb-10.0.29     	3086.2	11662	10517	9742.2
mariadb-10.0.30     	3329.8	12680	10940	10473
mariadb-10.0.31     	3298.3	38939	46830	46885
mariadb-10.0.32     	3252.6	38936	47594	46186
mariadb-10.0.33     	3233.9	33320	42920	39940
mariadb-10.0.34     	2946.1	36803	40517	40804
mariadb-10.1.2      	3359.0	38888	45825	45378
mariadb-10.1.3      	3246.4	22954	46453	47268
mariadb-10.1.4      	3434.0	38496	45160	46282
mariadb-10.1.5      	3295.4	39461	46264	45567
mariadb-10.1.6      	3306.1	38967	46749	47388
mariadb-10.1.7      	3373.3	37133	46385	46587
mariadb-10.1.8      	3265.4	39620	46015	47015
mariadb-10.1.9      	3373.6	39320	46065	44931
mariadb-10.1.10     	3366.6	40026	47006	47154
mariadb-10.1.11     	3401.1	39556	46899	47182
mariadb-10.1.12     	3248.0	8492.2	8031.9	8310.3
mariadb-10.1.13     	3157.0	12396	11351	9778.8
mariadb-10.1.14     	3254.1	10328	9248.8	9243.5
mariadb-10.1.15     	3337.8	12180	11338	10032
mariadb-10.1.16     	3149.6	12201	10947	10614
mariadb-10.1.17     	2961.3	11416	10618	9906.0
mariadb-10.1.18     	3140.5	7623.6	8005.1	7726.1
mariadb-10.1.19     	3047.0	12179	11243	9951.4
mariadb-10.1.20     	3125.0	11540	11361	10116
mariadb-10.1.21     	3203.4	11944	11225	10558
mariadb-10.1.22     	3184.7	8628.8	8295.1	8138.1
mariadb-10.1.23     	3243.9	12415	11106	9994.2
mariadb-10.1.24     	3256.9	38403	46109	45825
mariadb-10.1.25     	3275.8	38963	46446	45931
mariadb-10.1.26     	3238.1	38471	46654	47231
mariadb-10.1.27     	3079.7	38538	46409	46292
mariadb-10.1.28     	3085.0	38339	46489	48194
mariadb-10.1.29     	3229.3	38303	46454	46061
mariadb-10.1.30     	3074.9	35805	38762	41039
mariadb-10.1.31     	3327.0	38717	46994	46700
