#sysbench read/only, long ranges, small buffer pool, single table
#95%ile of TRX execution time [ms]
#
#thread count       	1	16	32	64
mariadb-5.5.20      	---	---	---	---
mariadb-5.5.21      	6.3400	10.740	16.090	33.960
mariadb-5.5.22      	4.1300	10.970	14.680	40.340
mariadb-5.5.23      	4.2200	11.000	14.650	36.490
mariadb-5.5.24      	4.3800	10.830	14.520	30.960
mariadb-5.5.25      	4.5900	10.840	14.590	32.390
mariadb-5.5.27      	4.3400	10.560	14.710	39.740
mariadb-5.5.28      	4.2900	11.000	14.590	32.070
mariadb-5.5.29      	4.3200	10.900	14.490	38.800
mariadb-5.5.30      	4.3000	10.600	14.610	32.940
mariadb-5.5.33      	4.7400	10.950	14.640	31.250
mariadb-5.5.34      	4.3000	10.880	14.620	30.290
mariadb-5.5.35      	4.3600	11.080	14.800	39.480
mariadb-5.5.36      	4.2600	10.970	14.750	38.850
mariadb-5.5.37      	4.4300	10.910	14.640	33.810
mariadb-5.5.38      	4.2900	10.860	14.650	33.710
mariadb-5.5.39      	4.4300	11.030	14.670	33.570
mariadb-5.5.40      	4.3800	11.030	14.800	33.780
mariadb-5.5.41      	4.2400	11.090	14.900	31.480
mariadb-5.5.42      	4.3000	11.060	14.820	37.820
mariadb-5.5.43      	4.2900	11.070	14.850	37.050
mariadb-5.5.44      	4.5300	11.020	14.790	36.820
mariadb-5.5.45      	4.2200	10.950	14.640	33.430
mariadb-5.5.46      	4.2300	10.900	14.620	40.900
mariadb-5.5.47      	4.4600	10.880	14.650	31.390
mariadb-5.5.48      	4.9400	11.000	14.740	32.580
mariadb-5.5.49      	4.8500	10.860	14.480	33.600
mariadb-5.5.50      	4.7400	11.030	14.640	36.780
mariadb-5.5.51      	5.0700	10.960	14.730	33.500
mariadb-5.5.52      	5.1700	10.780	14.630	33.020
mariadb-5.5.53      	5.0600	10.820	14.620	30.780
mariadb-5.5.54      	5.0200	10.780	14.560	30.370
mariadb-5.5.55      	5.4300	11.040	14.820	30.100
mariadb-5.5.56      	5.4200	10.910	14.750	33.750
mariadb-5.5.57      	5.2200	10.860	14.720	31.360
mariadb-5.5.58      	5.4000	11.290	14.650	40.410
mariadb-5.5.59      	4.7700	11.050	14.760	30.830
mariadb-10.0.7      	5.8500	6.4400	11.770	27.120
mariadb-10.0.8      	5.9400	7.2400	12.430	27.450
mariadb-10.0.9      	5.5800	7.8500	10.300	26.980
mariadb-10.0.10     	5.5100	8.7000	9.2800	26.990
mariadb-10.0.11     	5.6200	6.7900	13.960	27.060
mariadb-10.0.12     	5.5100	7.6300	13.120	29.880
mariadb-10.0.13     	5.4700	6.9700	12.340	25.470
mariadb-10.0.14     	5.4000	7.0800	8.6900	25.520
mariadb-10.0.15     	5.3400	7.3000	14.000	30.830
mariadb-10.0.16     	5.7600	7.0000	13.330	33.100
mariadb-10.0.17     	5.4600	7.7100	12.940	33.170
mariadb-10.0.18     	5.7100	7.2200	13.670	31.460
mariadb-10.0.19     	5.3800	7.6700	13.220	30.850
mariadb-10.0.20     	5.2900	7.7100	14.030	31.000
mariadb-10.0.21     	5.2600	7.2200	13.010	32.940
mariadb-10.0.22     	6.1100	7.8400	13.530	32.450
mariadb-10.0.23     	5.3500	7.4600	13.290	31.520
mariadb-10.0.24     	5.8300	11.680	106.68	786.32
