#sysbench read/only, long ranges, small buffer pool, single table
#average TRX execution time [ms]
#
#thread count       	1	16	32	64
mariadb-5.5.20      	---	---	---	---
mariadb-5.5.21      	5.1400	9.2800	15.400	28.430
mariadb-5.5.22      	3.3700	10.050	13.990	27.290
mariadb-5.5.23      	3.4100	9.9200	13.950	27.260
mariadb-5.5.24      	3.4800	9.9200	13.810	27.050
mariadb-5.5.25      	3.5100	9.8600	13.900	27.100
mariadb-5.5.27      	3.5100	9.6400	13.950	27.050
mariadb-5.5.28      	3.4500	9.8400	13.940	27.180
mariadb-5.5.29      	3.4700	9.7600	13.770	27.000
mariadb-5.5.30      	3.4700	9.4400	13.880	26.690
mariadb-5.5.33      	3.6800	9.9800	13.960	27.610
mariadb-5.5.34      	3.4600	9.7900	13.880	27.400
mariadb-5.5.35      	3.5700	9.9500	14.060	27.650
mariadb-5.5.36      	3.4700	9.9400	14.080	27.750
mariadb-5.5.37      	3.5400	9.9800	13.940	27.520
mariadb-5.5.38      	3.4600	10.010	13.990	27.640
mariadb-5.5.39      	3.5400	10.010	14.040	27.730
mariadb-5.5.40      	3.5400	10.160	14.100	27.710
mariadb-5.5.41      	3.4400	10.090	14.170	27.940
mariadb-5.5.42      	3.4900	10.080	14.060	27.750
mariadb-5.5.43      	3.4900	10.130	14.170	27.750
mariadb-5.5.44      	3.4500	10.150	14.070	27.680
mariadb-5.5.45      	3.5000	9.9300	13.970	27.650
mariadb-5.5.46      	3.4300	9.9500	13.910	27.360
mariadb-5.5.47      	3.5200	9.8700	13.930	27.460
mariadb-5.5.48      	3.7300	9.9800	14.090	27.790
mariadb-5.5.49      	3.7000	9.8900	13.890	26.960
mariadb-5.5.50      	3.8100	9.9700	14.030	27.390
mariadb-5.5.51      	3.9000	9.9400	14.110	27.740
mariadb-5.5.52      	3.9200	9.7300	13.990	27.580
mariadb-5.5.53      	3.8800	9.8700	14.020	27.700
mariadb-5.5.54      	3.8600	9.8200	13.950	27.340
mariadb-5.5.55      	4.0000	9.9600	14.180	28.130
mariadb-5.5.56      	4.0200	9.9400	14.090	27.720
mariadb-5.5.57      	3.9900	9.9100	14.070	27.870
mariadb-5.5.58      	4.1400	9.5700	13.870	27.260
mariadb-5.5.59      	3.7800	9.8500	14.040	27.870
mariadb-10.0.7      	4.3200	5.5900	9.2700	18.520
mariadb-10.0.8      	4.4100	5.7300	9.7100	19.030
mariadb-10.0.9      	4.2500	6.1900	9.1200	17.740
mariadb-10.0.10     	4.2300	6.3500	8.8900	18.130
mariadb-10.0.11     	4.3300	5.7500	10.150	17.610
mariadb-10.0.12     	4.1900	5.7700	9.5400	18.590
mariadb-10.0.13     	4.1600	5.5300	9.2600	16.950
mariadb-10.0.14     	4.0300	5.3000	8.3500	16.750
mariadb-10.0.15     	4.0500	5.9500	9.6600	18.850
mariadb-10.0.16     	4.2900	5.6700	9.5300	19.340
mariadb-10.0.17     	4.1900	5.7300	9.3200	19.000
mariadb-10.0.18     	4.1600	5.6500	9.7000	18.590
mariadb-10.0.19     	4.0300	5.7500	9.5500	19.110
mariadb-10.0.20     	4.0300	5.7800	9.9000	18.580
mariadb-10.0.21     	4.0500	6.8700	9.4800	19.440
mariadb-10.0.22     	4.5000	5.7500	9.7000	18.990
mariadb-10.0.23     	3.9900	5.7600	9.6100	18.810
mariadb-10.0.24     	4.4100	23.950	46.680	91.130
mariadb-10.0.25     	4.3300	17.680	38.520	87.490
mariadb-10.0.26     	4.2100	18.070	48.420	103.00
mariadb-10.0.27     	4.3300	17.180	40.240	89.200
mariadb-10.0.28     	4.2100	17.720	39.420	88.200
mariadb-10.0.29     	4.5300	19.190	42.570	89.710
mariadb-10.0.30     	4.2000	17.650	40.930	85.470
mariadb-10.0.31     	4.2400	5.7500	9.5600	19.100
mariadb-10.0.32     	4.3000	5.7500	9.4100	19.380
mariadb-10.0.33     	4.3300	6.7200	10.430	22.410
mariadb-10.0.34     	4.7500	6.0800	11.050	21.940
mariadb-10.1.2      	4.1700	5.7600	9.7700	19.730
mariadb-10.1.3      	4.3100	9.7500	9.6400	18.940
mariadb-10.1.4      	4.0700	5.8100	9.9200	19.350
mariadb-10.1.5      	4.2500	5.6700	9.6800	19.650
mariadb-10.1.6      	4.2300	5.7400	9.5800	18.890
mariadb-10.1.7      	4.1500	6.0300	9.6500	19.220
