#Workload: connect; select 1; disconnect;
#connects per second
#
#thread count       	1	8	16	32	64	128	256
mariadb-5.5.20      	---	---	---	---	---	---	---
mariadb-5.5.21      	9191.3	39793	39733	39676	37935	37765	38261
mariadb-5.5.22      	9191.8	41357	40942	41149	39433	39352	39361
mariadb-5.5.23      	9120.7	41195	40877	41113	39573	39585	39714
mariadb-5.5.24      	9004.6	40957	40823	41104	39077	39494	39176
mariadb-5.5.25      	9142.0	40942	40847	40785	39369	38979	39326
mariadb-5.5.27      	9295.2	41370	41234	41263	39484	40007	39115
mariadb-5.5.28      	9205.8	41404	41435	41419	40021	39538	39017
mariadb-5.5.29      	9211.8	44684	44870	42867	41273	41406	41292
mariadb-5.5.30      	9084.4	44681	45236	42883	41400	41307	40751
mariadb-5.5.33      	6696.8	33873	36987	36568	35784	35481	35317
mariadb-5.5.34      	6675.4	33191	35781	35292	34385	34159	33823
mariadb-5.5.35      	6620.6	33318	35575	35174	34106	34104	33909
mariadb-5.5.36      	6787.7	33429	36250	35799	34718	34679	34644
mariadb-5.5.37      	6843.2	33886	36737	36498	35478	35261	34842
mariadb-5.5.38      	6659.8	33159	35080	34782	33921	33868	33704
mariadb-5.5.39      	6669.8	33348	35573	35101	34189	34121	33720
mariadb-5.5.40      	6817.4	33625	36447	35917	35171	34935	34557
mariadb-5.5.41      	6763.9	33994	37380	37395	35784	35597	35618
mariadb-5.5.42      	6694.4	33958	37477	37025	35831	35487	35469
mariadb-5.5.43      	6555.2	33757	37263	36865	35840	35682	35486
mariadb-5.5.44      	6762.8	33733	37314	37337	36012	35723	35135
mariadb-5.5.45      	6697.6	33536	36155	35529	34610	34453	34469
mariadb-5.5.46      	6622.9	33157	35901	35659	34544	34281	33655
mariadb-5.5.47      	6682.6	33558	36577	36354	35011	34659	34396
mariadb-5.5.48      	6603.1	32536	37779	37754	36172	35830	35582
mariadb-5.5.49      	6583.6	32729	37921	37605	36504	36103	35855
mariadb-5.5.50      	6238.1	32146	37517	37411	36152	35799	35369
mariadb-5.5.51      	6361.3	32110	37580	37975	36291	35792	35290
mariadb-5.5.52      	5696.7	31837	36987	37291	35931	35615	35337
mariadb-5.5.53      	6124.5	31748	37291	36743	35661	35283	34817
mariadb-5.5.54      	5815.4	32282	37720	37924	36501	35781	35295
mariadb-5.5.55      	5731.6	32691	37897	37295	36339	35864	35798
mariadb-5.5.56      	6416.2	32214	37669	37215	35913	35489	35263
mariadb-5.5.57      	6031.1	32193	37415	36896	36070	35600	35282
mariadb-5.5.58      	6574.8	31587	37069	36855	35410	35223	35112
mariadb-5.5.59      	---	---	---	---	---	---	---
mariadb-10.0.7      	4631.4	29485	33504	33317	32423	32066	31746
mariadb-10.0.8      	4018.1	29569	33430	33302	32875	32652	31697
mariadb-10.0.9      	4522.2	28412	32645	32702	32295	32098	31208
mariadb-10.0.10     	4716.3	29208	33054	32999	32739	32580	31578
mariadb-10.0.11     	5318.7	29463	33233	33192	32346	32028	31036
mariadb-10.0.12     	5276.1	32141	36268	36312	35760	35309	34266
mariadb-10.0.13     	4106.8	31889	36020	35963	35445	35138	34079
mariadb-10.0.14     	4040.4	31410	35548	35123	34544	34333	33626
mariadb-10.0.15     	3816.8	32098	36043	35328	35069	34800	33684
mariadb-10.0.16     	6213.4	31517	36262	35486	34994	34666	33594
mariadb-10.0.17     	5571.2	31976	36366	36095	35331	34994	33930
