#Workload: connect; select 1; disconnect;
#95%ile of connect time [ms]
#
#thread count       	1	8	16	32	64	128	256
mariadb-5.5.20      	---	---	---	---	---	---	---
mariadb-5.5.21      	0.1400	0.2500	0.4700	0.9100	1.9900	5.4200	12.070
mariadb-5.5.22      	0.1400	0.2400	0.4600	0.8800	1.9100	5.1700	11.680
mariadb-5.5.23      	0.1400	0.2400	0.4600	0.8800	1.9000	5.1400	11.570
mariadb-5.5.24      	0.1400	0.2400	0.4600	0.8800	1.9500	5.1600	11.780
mariadb-5.5.25      	0.1400	0.2400	0.4600	0.8800	1.9200	5.2400	11.690
mariadb-5.5.27      	0.1300	0.2400	0.4500	0.8800	1.9200	5.0800	11.920
mariadb-5.5.28      	0.1400	0.2400	0.4600	0.8700	1.8800	5.1700	11.920
mariadb-5.5.29      	0.1400	0.2300	0.4400	0.8600	1.8500	4.9200	11.150
mariadb-5.5.30      	0.1400	0.2300	0.4400	0.8500	1.8400	4.9300	11.420
mariadb-5.5.33      	0.2000	0.3000	0.5200	0.9800	2.0600	5.7100	13.070
mariadb-5.5.34      	0.1900	0.3100	0.5300	1.0100	2.1500	5.9100	13.560
mariadb-5.5.35      	0.2000	0.3100	0.5300	1.0100	2.1600	5.9300	13.520
mariadb-5.5.36      	0.1900	0.3100	0.5300	1.0000	2.1100	5.8300	13.290
mariadb-5.5.37      	0.1900	0.3000	0.5200	0.9800	2.0800	5.7400	13.190
mariadb-5.5.38      	0.2000	0.3100	0.5400	1.0200	2.1700	5.9600	13.650
mariadb-5.5.39      	0.2000	0.3100	0.5300	1.0100	2.1500	5.9100	13.610
mariadb-5.5.40      	0.1900	0.3100	0.5300	1.0000	2.0900	5.7900	13.330
mariadb-5.5.41      	0.1900	0.3000	0.5200	0.9700	2.0500	5.7000	13.000
mariadb-5.5.42      	0.2000	0.3000	0.5100	0.9700	2.0600	5.7100	13.010
mariadb-5.5.43      	0.2000	0.3000	0.5200	0.9700	2.0500	5.6900	13.010
mariadb-5.5.44      	0.1900	0.3100	0.5200	0.9700	2.0300	5.6700	13.120
mariadb-5.5.45      	0.1900	0.3100	0.5300	1.0100	2.1300	5.8700	13.440
mariadb-5.5.46      	0.2000	0.3100	0.5300	1.0000	2.1400	5.9100	13.650
mariadb-5.5.47      	0.2000	0.3100	0.5300	0.9900	2.1000	5.8400	13.370
mariadb-5.5.48      	0.2000	0.3300	0.5000	0.9500	2.0500	5.7600	13.200
mariadb-5.5.49      	0.1900	0.3300	0.5000	0.9500	2.0300	5.7000	13.090
mariadb-5.5.50      	0.2100	0.3300	0.5000	0.9600	2.0400	5.7200	13.400
