#Workload: connect; select 1; disconnect;
#average connect time [ms]
#
#thread count       	1	8	16	32	64	128	256
mariadb-5.5.20      	---	---	---	---	---	---	---
mariadb-5.5.21      	0.1100	0.2000	0.4000	0.8100	1.6900	3.3900	6.6900
mariadb-5.5.22      	0.1100	0.1900	0.3900	0.7800	1.6200	3.2500	6.5000
mariadb-5.5.23      	0.1100	0.1900	0.3900	0.7800	1.6200	3.2300	6.4400
mariadb-5.5.24      	0.1100	0.1900	0.3900	0.7800	1.6400	3.2400	6.5300
mariadb-5.5.25      	0.1100	0.1900	0.3900	0.7800	1.6200	3.2800	6.5100
mariadb-5.5.27      	0.1100	0.1900	0.3900	0.7700	1.6200	3.2000	6.5400
mariadb-5.5.28      	0.1100	0.1900	0.3900	0.7700	1.6000	3.2400	6.5600
mariadb-5.5.29      	0.1100	0.1800	0.3600	0.7500	1.5500	3.0900	6.2000
mariadb-5.5.30      	0.1100	0.1800	0.3500	0.7500	1.5400	3.1000	6.2800
mariadb-5.5.33      	0.1500	0.2300	0.4300	0.8700	1.7900	3.6100	7.2500
mariadb-5.5.34      	0.1500	0.2400	0.4500	0.9100	1.8600	3.7500	7.5700
mariadb-5.5.35      	0.1500	0.2400	0.4500	0.9100	1.8800	3.7500	7.5500
mariadb-5.5.36      	0.1500	0.2400	0.4400	0.8900	1.8400	3.6900	7.3900
mariadb-5.5.37      	0.1500	0.2300	0.4300	0.8800	1.8000	3.6300	7.3500
mariadb-5.5.38      	0.1500	0.2400	0.4500	0.9200	1.8900	3.7800	7.5900
mariadb-5.5.39      	0.1500	0.2400	0.4500	0.9100	1.8700	3.7500	7.5900
mariadb-5.5.40      	0.1500	0.2400	0.4400	0.8900	1.8200	3.6600	7.4100
mariadb-5.5.41      	0.1500	0.2300	0.4300	0.8500	1.7900	3.5900	7.1800
mariadb-5.5.42      	0.1500	0.2300	0.4300	0.8600	1.7800	3.6100	7.2200
mariadb-5.5.43      	0.1500	0.2400	0.4300	0.8700	1.7800	3.5900	7.2100
mariadb-5.5.44      	0.1500	0.2400	0.4300	0.8600	1.7800	3.5800	7.2800
mariadb-5.5.45      	0.1500	0.2400	0.4400	0.9000	1.8500	3.7100	7.4200
mariadb-5.5.46      	0.1500	0.2400	0.4400	0.9000	1.8500	3.7300	7.6000
mariadb-5.5.47      	0.1500	0.2400	0.4400	0.8800	1.8300	3.6900	7.4400
mariadb-5.5.48      	0.1500	0.2400	0.4200	0.8500	1.7700	3.5700	7.1900
mariadb-5.5.49      	0.1500	0.2400	0.4200	0.8500	1.7500	3.5400	7.1400
mariadb-5.5.50      	0.1600	0.2500	0.4300	0.8500	1.7700	3.5700	7.2400
mariadb-5.5.51      	0.1600	0.2500	0.4200	0.8400	1.7600	3.5700	7.2500
mariadb-5.5.52      	0.1700	0.2500	0.4300	0.8600	1.7800	3.5900	7.2400
mariadb-5.5.53      	0.1600	0.2500	0.4300	0.8700	1.7900	3.6300	7.3500
mariadb-5.5.54      	0.1700	0.2500	0.4200	0.8400	1.7500	3.5800	7.2500
mariadb-5.5.55      	0.1700	0.2400	0.4200	0.8600	1.7600	3.5700	7.1500
mariadb-5.5.56      	0.1600	0.2500	0.4200	0.8600	1.7800	3.6100	7.2600
mariadb-5.5.57      	0.1600	0.2500	0.4300	0.8700	1.7700	3.5900	7.2500
mariadb-5.5.58      	0.1500	0.2500	0.4300	0.8700	1.8100	3.6300	7.2900
mariadb-5.5.59      	---	---	---	---	---	---	---
mariadb-10.0.7      	0.2100	0.2700	0.4800	0.9600	1.9700	3.9900	8.0600
mariadb-10.0.8      	0.2500	0.2700	0.4800	0.9600	1.9500	3.9200	8.0700
mariadb-10.0.9      	0.2200	0.2800	0.4900	0.9800	1.9800	3.9900	8.2000
mariadb-10.0.10     	0.2100	0.2700	0.4800	0.9700	1.9500	3.9300	8.1000
mariadb-10.0.11     	0.1900	0.2700	0.4800	0.9600	1.9800	3.9900	8.2500
mariadb-10.0.12     	0.1900	0.2500	0.4400	0.8800	1.7900	3.6200	7.4700
mariadb-10.0.13     	0.2400	0.2500	0.4400	0.8900	1.8000	3.6400	7.5100
mariadb-10.0.14     	0.2500	0.2500	0.4500	0.9100	1.8500	3.7300	7.6100
mariadb-10.0.15     	0.2600	0.2500	0.4400	0.9000	1.8200	3.6800	7.6000
mariadb-10.0.16     	0.1600	0.2500	0.4400	0.9000	1.8300	3.6900	7.6200
mariadb-10.0.17     	0.1800	0.2500	0.4400	0.8900	1.8100	3.6600	7.5400
mariadb-10.0.18     	0.1700	0.2500	0.4400	0.8800	1.7800	3.6500	7.6000
mariadb-10.0.19     	0.1600	0.2500	0.4400	0.8900	1.8000	3.6400	7.5100
mariadb-10.0.20     	0.1700	0.2500	0.4400	0.8800	1.8100	3.6400	7.5900
mariadb-10.0.21     	0.2800	0.2500	0.4500	0.9100	1.8400	3.7000	7.6500
mariadb-10.0.22     	0.1800	0.2500	0.4400	0.8800	1.8000	3.6000	7.4500
mariadb-10.0.23     	0.2800	0.2500	0.4500	0.8900	1.8300	3.6900	7.5800
mariadb-10.0.24     	0.1800	0.2400	0.4400	0.8700	1.7900	3.6100	7.4600
mariadb-10.0.25     	0.1800	0.2500	0.4400	0.8900	1.8000	3.6200	7.5800
mariadb-10.0.26     	0.1700	0.2500	0.4400	0.8800	1.7800	3.5900	7.4500
mariadb-10.0.27     	0.1700	0.2500	0.4400	0.8900	1.8000	3.6200	7.4900
mariadb-10.0.28     	0.1600	0.2500	0.4400	0.8800	1.8000	3.6200	7.5000
