#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#95%ile of transaction time [ms]
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-5.5.21      	1.6200	1.8200	1.9100	3.2300	6.3600	12.530	25.890	54.030	118.11	242.78	631.22
mariadb-5.5.22      	1.3300	1.5100	1.7000	2.8700	5.6300	11.140	22.870	47.260	108.16	228.06	630.08
mariadb-5.5.23      	1.3000	1.5900	1.7200	2.9000	5.6500	11.430	23.400	47.870	105.89	240.75	644.97
mariadb-5.5.24      	1.3300	1.4300	1.7300	2.8900	5.7000	11.250	23.480	48.030	106.27	245.04	648.26
mariadb-5.5.25      	1.3300	1.6400	1.7300	2.9200	5.7200	11.310	23.600	48.970	108.20	244.68	651.37
mariadb-5.5.27      	1.3000	1.5600	1.7600	2.9900	5.7700	11.580	24.100	50.100	109.27	244.60	675.19
mariadb-5.5.28      	1.4900	1.4600	1.7900	2.9300	5.7200	11.360	23.330	48.810	107.49	241.55	663.18
mariadb-5.5.29      	1.2900	1.5900	1.7400	2.9200	5.7700	11.490	23.370	48.320	106.72	227.65	656.07
mariadb-5.5.30      	1.4700	1.4900	1.7600	2.9700	5.8100	11.650	23.510	49.000	109.66	242.78	670.36
mariadb-5.5.33      	1.3700	1.5500	1.7600	3.0000	5.8600	11.470	23.080	48.360	103.82	221.46	433.93
mariadb-5.5.34      	1.2500	1.5200	1.7300	2.9100	5.7700	11.400	22.810	47.100	100.70	206.98	413.88
mariadb-5.5.35      	1.3600	1.5500	1.7400	2.9400	5.7700	11.450	22.810	46.220	105.04	222.66	423.15
mariadb-5.5.36      	1.3600	1.5800	1.7400	2.9400	5.8000	11.440	22.850	46.560	101.57	217.07	412.52
mariadb-5.5.37      	1.3300	1.5700	1.7300	2.9000	5.7300	11.210	22.310	47.160	98.960	204.76	423.79
mariadb-5.5.38      	1.3000	1.5600	1.7400	2.9300	5.7200	11.330	22.530	47.470	100.12	211.99	420.37
mariadb-5.5.39      	1.3400	1.5200	1.7400	2.9200	5.7300	11.210	22.440	45.740	100.85	210.67	420.50
mariadb-5.5.40      	1.2800	1.5500	1.7200	2.9200	5.7200	11.350	22.820	47.600	100.39	206.48	416.87
mariadb-5.5.41      	1.2800	1.5700	1.7400	2.9400	5.7300	11.440	22.970	47.060	103.38	207.04	423.15
