#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#average transaction time [ms]
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-5.5.21      	1.3400	1.6000	1.7700	2.9800	5.9100	11.780	24.180	50.340	109.24	227.38	586.74
mariadb-5.5.22      	1.1000	1.4300	1.5800	2.6200	5.1500	10.340	21.590	44.660	97.320	211.32	592.28
mariadb-5.5.23      	1.0900	1.3500	1.5800	2.6400	5.2400	10.520	21.760	44.690	97.540	219.88	590.74
mariadb-5.5.24      	1.0900	1.3100	1.5900	2.6400	5.2200	10.470	21.940	45.250	98.320	225.68	591.88
mariadb-5.5.25      	1.0800	1.3600	1.5800	2.6700	5.2700	10.640	22.110	45.350	97.970	218.51	594.58
mariadb-5.5.27      	1.0700	1.4500	1.6100	2.7300	5.3400	10.700	22.210	46.050	99.810	224.75	611.60
mariadb-5.5.28      	1.1500	1.3100	1.6100	2.6700	5.2600	10.560	21.700	44.980	98.270	220.19	600.09
mariadb-5.5.29      	1.0700	1.3400	1.6000	2.6800	5.2800	10.580	21.730	44.990	98.120	213.36	594.82
mariadb-5.5.30      	1.1300	1.3000	1.6100	2.7100	5.3400	10.740	22.050	45.520	100.02	223.29	596.01
mariadb-5.5.33      	1.1000	1.3600	1.6300	2.7400	5.4100	10.800	21.640	44.350	94.330	195.57	391.71
mariadb-5.5.34      	1.0500	1.4700	1.6000	2.6800	5.2900	10.550	21.170	43.300	94.270	189.53	384.91
mariadb-5.5.35      	1.0900	1.4600	1.6100	2.7000	5.3300	10.630	21.340	43.730	95.370	194.40	385.83
mariadb-5.5.36      	1.1100	1.3600	1.6100	2.7000	5.3200	10.610	21.260	43.610	92.690	192.35	383.67
mariadb-5.5.37      	1.0800	1.4400	1.6000	2.6700	5.2700	10.530	21.150	43.090	92.140	187.44	382.49
mariadb-5.5.38      	1.0600	1.4100	1.6000	2.6800	5.3000	10.590	21.240	43.530	92.450	193.94	384.22
mariadb-5.5.39      	1.0800	1.3400	1.6000	2.6800	5.3000	10.570	21.200	43.440	92.800	193.18	386.45
mariadb-5.5.40      	1.0700	1.3400	1.5900	2.6600	5.2500	10.470	21.000	43.160	91.670	190.21	372.27
mariadb-5.5.41      	1.0700	1.3400	1.6100	2.6800	5.2900	10.560	21.150	43.230	94.140	189.96	380.80
mariadb-5.5.42      	1.1300	1.4300	1.6000	2.6800	5.3000	10.590	21.270	43.510	94.420	190.06	384.83
mariadb-5.5.43      	1.0500	1.3300	1.6000	2.6700	5.2800	10.560	21.130	43.250	92.460	192.61	383.86
mariadb-5.5.44      	1.1100	1.4200	1.6000	2.6600	5.2500	10.480	21.030	43.120	93.550	190.77	382.91
mariadb-5.5.45      	1.1000	1.4400	1.6100	2.7000	5.3300	10.640	21.320	43.650	92.700	192.61	385.81
mariadb-5.5.46      	1.1200	1.3500	1.6000	2.6900	5.3000	10.610	21.270	43.430	92.780	193.23	386.90
mariadb-5.5.47      	1.1200	1.3600	1.6000	2.6900	5.3000	10.590	21.230	43.500	92.850	191.18	383.21
mariadb-5.5.48      	1.1300	1.3900	1.6000	2.6500	5.2500	10.480	21.020	43.140	92.440	186.67	375.30
mariadb-5.5.49      	1.1500	1.3500	1.5900	2.6500	5.2200	10.430	20.940	42.950	92.170	185.37	376.03
mariadb-5.5.50      	1.1800	1.3900	1.6100	2.7100	5.3400	10.680	21.340	43.740	93.800	188.35	384.34
mariadb-5.5.51      	1.1500	1.4100	1.6100	2.6900	5.3200	10.600	21.290	43.720	93.760	189.02	381.06
mariadb-5.5.52      	1.1500	1.3800	1.6100	2.6900	5.3000	10.550	21.200	43.470	93.580	185.92	377.95
mariadb-5.5.53      	1.1500	1.3700	1.6000	2.6800	5.2900	10.570	21.150	43.430	93.210	188.61	380.83
mariadb-5.5.54      	1.1500	1.4400	1.6100	2.6900	5.3200	10.610	21.300	43.570	93.660	188.35	383.96
mariadb-5.5.55      	1.1000	1.3800	1.6100	2.6900	5.3000	10.600	21.250	43.590	93.680	188.81	384.09
mariadb-5.5.56      	1.1800	1.3900	1.6100	2.7000	5.3400	10.640	21.430	43.920	94.660	190.12	383.28
mariadb-5.5.57      	1.1700	1.3900	1.6200	2.7000	5.3500	10.700	21.420	43.960	94.560	188.81	381.34
mariadb-5.5.58      	1.1300	1.3700	1.6200	2.7100	5.3500	10.670	21.350	43.750	93.940	189.12	384.02
mariadb-5.5.59      	1.1200	1.3700	1.6400	2.7200	5.3900	10.750	21.550	44.000	96.030	193.49	389.67
mariadb-10.0.7      	1.1600	1.4400	1.6600	2.7700	5.4500	10.940	22.020	45.030	97.710	202.04	469.59
mariadb-10.0.8      	1.2400	1.4600	1.6800	2.7900	5.5200	11.050	22.100	45.330	97.920	202.50	468.40
mariadb-10.0.9      	1.1600	1.4400	1.6300	2.7500	5.4200	10.870	21.760	44.620	96.440	192.15	381.46
mariadb-10.0.10     	1.2400	1.4500	1.6600	2.7600	5.4600	10.870	21.890	44.940	95.110	192.22	387.60
mariadb-10.0.11     	1.2500	1.5000	1.6600	2.7500	5.4100	10.860	21.630	44.370	95.900	192.47	386.52
mariadb-10.0.12     	1.1900	1.4800	1.6600	2.8000	5.5000	11.000	22.060	44.880	97.180	194.15	389.51
mariadb-10.0.13     	1.1800	1.4500	1.6700	2.7700	5.4600	10.930	21.990	44.880	97.130	193.85	385.58
mariadb-10.0.14     	1.2100	1.4300	1.6600	2.7500	5.4300	10.950	21.780	44.860	95.650	192.97	389.54
mariadb-10.0.15     	1.2100	1.4500	1.6500	2.7600	5.4600	10.990	21.890	44.960	97.200	193.60	389.38
mariadb-10.0.16     	1.2400	1.4600	1.6600	2.7800	5.4600	10.880	21.840	45.020	96.680	194.75	391.10
mariadb-10.0.17     	1.2300	1.4500	1.6500	2.7600	5.4500	10.940	21.910	44.860	95.840	193.47	387.18
mariadb-10.0.18     	1.2400	1.4600	1.6700	2.7800	5.4700	10.930	21.980	45.300	98.040	195.76	389.50
mariadb-10.0.19     	1.2300	1.4800	1.6600	2.7800	5.4800	10.950	21.970	45.400	97.720	195.65	395.30
mariadb-10.0.20     	1.1900	1.4500	1.6500	2.7600	5.4400	10.930	21.890	45.030	97.680	194.99	391.41
mariadb-10.0.21     	1.1900	1.4600	1.6700	2.7800	5.4800	11.050	22.020	45.430	97.680	195.06	393.10
mariadb-10.0.22     	1.2200	1.4500	1.6700	2.7800	5.4800	10.930	21.890	44.880	97.030	191.09	391.12
mariadb-10.0.23     	1.2600	1.4800	1.6800	2.7800	5.4500	10.980	21.920	45.030	97.510	192.60	393.16
mariadb-10.0.24     	1.2200	1.4600	1.6700	2.7500	5.4300	10.830	21.750	44.500	95.760	192.93	387.53
mariadb-10.0.25     	1.2900	1.4900	1.6900	2.8300	5.5500	11.180	22.360	45.930	98.350	197.67	395.82
mariadb-10.0.26     	1.2100	1.4800	1.7000	2.8200	5.5700	11.170	22.340	45.880	98.990	198.02	396.96
mariadb-10.0.27     	1.2400	1.4900	1.7000	2.8300	5.5600	11.220	22.400	46.020	97.810	197.50	394.72
mariadb-10.0.28     	1.2500	1.4900	1.6900	2.8400	5.5600	11.160	22.310	45.990	98.600	196.06	396.81
mariadb-10.0.29     	1.2600	1.4900	1.6900	2.8500	5.5900	11.240	22.480	46.140	99.200	198.40	397.71
mariadb-10.0.30     	1.2600	1.4900	1.6900	2.8400	5.6100	11.150	22.410	46.080	98.930	198.18	397.23
mariadb-10.0.31     	1.2700	1.4900	1.6900	2.8400	5.5800	11.190	22.370	46.190	99.300	196.61	399.17
mariadb-10.0.32     	1.2800	1.5300	1.6900	2.8400	5.5700	11.120	22.260	46.030	98.960	198.04	398.74
mariadb-10.0.33     	1.1900	1.4800	1.7000	2.8300	5.5700	11.240	22.360	45.850	98.940	197.50	399.42
