#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#TPS
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-5.5.21      	745.66	5000.6	9043.7	10716	10823	10866	10586	10165	9368.1	8999.0	6964.7
mariadb-5.5.22      	904.13	5583.1	10147	12186	12430	12380	11855	11456	10508	9676.3	6903.0
mariadb-5.5.23      	915.26	5905.0	10088	12092	12208	12165	11759	11447	10488	9305.0	6918.6
mariadb-5.5.24      	919.64	6114.8	10084	12121	12247	12220	11666	11307	10407	9066.5	6906.2
mariadb-5.5.25      	921.37	5865.1	10087	11980	12134	12028	11576	11284	10440	9364.5	6874.7
mariadb-5.5.27      	935.03	5499.6	9943.2	11704	11991	11956	11521	11113	10250	9103.1	6681.7
mariadb-5.5.28      	871.52	6079.2	9931.2	11989	12165	12114	11794	11378	10412	9292.1	6811.7
mariadb-5.5.29      	934.59	5980.1	10010	11953	12118	12094	11776	11374	10430	9589.3	6871.4
mariadb-5.5.30      	880.73	6125.7	9937.8	11808	11973	11919	11605	11241	10227	9162.8	6858.3
mariadb-5.5.33      	905.14	5893.8	9822.9	11658	11836	11849	11823	11539	10845	10460	10438
mariadb-5.5.34      	952.43	5455.0	9980.0	11943	12095	12128	12085	11818	10855	10794	10621
mariadb-5.5.35      	917.73	5466.8	9918.0	11852	12005	12041	11994	11704	10729	10520	10596
mariadb-5.5.36      	900.89	5859.6	9916.2	11855	12037	12060	12035	11730	11038	10634	10655
mariadb-5.5.37      	926.58	5563.0	10005	11976	12133	12152	12102	11874	11106	10916	10688
mariadb-5.5.38      	939.06	5675.1	9982.6	11911	12079	12081	12046	11754	11068	10545	10641
mariadb-5.5.39      	928.26	5955.6	9983.9	11912	12062	12110	12068	11779	11025	10592	10579
mariadb-5.5.40      	937.28	5967.4	10053	12023	12175	12224	12184	11855	11160	10753	10982
mariadb-5.5.41      	932.19	5985.9	9950.3	11930	12086	12115	12097	11839	10869	10770	10737
mariadb-5.5.42      	885.57	5598.6	10017	11933	12068	12082	12029	11763	10836	10766	10623
mariadb-5.5.43      	949.77	6008.6	10002	11970	12117	12123	12113	11831	11066	10622	10651
mariadb-5.5.44      	902.78	5624.1	9986.5	12033	12186	12214	12165	11869	10939	10723	10677
mariadb-5.5.45      	907.12	5548.9	9907.7	11860	12008	12031	12002	11726	11035	10619	10597
mariadb-5.5.46      	894.26	5925.7	10008	11904	12079	12065	12034	11782	11027	10588	10567
mariadb-5.5.47      	894.91	5885.1	9985.0	11893	12065	12084	12053	11763	11019	10698	10665
mariadb-5.5.48      	882.64	5743.6	10017	12075	12196	12209	12177	11866	11071	10961	10890
mariadb-5.5.49      	866.07	5902.0	10083	12071	12245	12264	12223	11918	11104	11038	10871
mariadb-5.5.50      	849.42	5755.2	9924.9	11813	11978	11977	11993	11701	10911	10864	10636
mariadb-5.5.51      	869.54	5652.9	9908.6	11872	12029	12069	12020	11709	10916	10824	10727
mariadb-5.5.52      	865.87	5794.2	9902.9	11886	12078	12127	12072	11774	10938	11005	10816
mariadb-5.5.53      	867.15	5838.5	9995.1	11919	12093	12110	12100	11786	10981	10849	10734
mariadb-5.5.54      	870.85	5550.3	9928.8	11877	12028	12062	12017	11747	10928	10864	10647
mariadb-5.5.55      	911.40	5790.2	9951.3	11907	12067	12071	12042	11742	10925	10836	10644
mariadb-5.5.56      	850.05	5752.1	9917.3	11829	11984	12031	11943	11654	10812	10760	10666
mariadb-5.5.57      	856.03	5767.3	9892.7	11833	11964	11965	11949	11643	10824	10836	10723
mariadb-5.5.58      	886.81	5812.0	9865.4	11815	11969	11999	11986	11699	10896	10819	10644
mariadb-5.5.59      	889.15	5816.4	9767.5	11756	11869	11908	11873	11628	10655	10573	10490
mariadb-10.0.7      	861.87	5568.4	9650.0	11554	11746	11699	11623	11367	10475	10126	8703.9
mariadb-10.0.8      	807.67	5474.4	9527.7	11460	11597	11586	11584	11292	10452	10103	8725.5
mariadb-10.0.9      	860.82	5554.9	9821.4	11641	11809	11766	11761	11472	10613	10647	10717
mariadb-10.0.10     	802.62	5507.9	9625.7	11576	11726	11771	11694	11391	10761	10644	10547
mariadb-10.0.11     	797.28	5335.0	9652.9	11610	11833	11788	11832	11535	10673	10628	10574
mariadb-10.0.12     	839.88	5407.7	9620.0	11429	11621	11635	11604	11405	10531	10539	10493
mariadb-10.0.13     	843.70	5520.4	9597.5	11560	11721	11710	11637	11405	10538	10554	10601
mariadb-10.0.14     	824.77	5572.0	9642.7	11634	11781	11686	11749	11410	10701	10602	10495
mariadb-10.0.15     	823.06	5510.7	9659.5	11590	11718	11646	11695	11385	10529	10568	10498
mariadb-10.0.16     	804.14	5469.1	9625.4	11486	11709	11757	11721	11370	10586	10505	10452
mariadb-10.0.17     	809.21	5498.1	9680.2	11573	11732	11695	11684	11410	10678	10575	10554
mariadb-10.0.18     	803.37	5470.1	9550.0	11499	11706	11712	11643	11299	10440	10452	10494
mariadb-10.0.19     	815.25	5386.8	9629.8	11503	11680	11686	11649	11275	10473	10456	10340
mariadb-10.0.20     	838.74	5501.6	9692.7	11567	11761	11712	11694	11368	10478	10493	10443
mariadb-10.0.21     	842.95	5472.5	9552.9	11497	11667	11585	11621	11267	10479	10489	10399
mariadb-10.0.22     	819.12	5498.7	9547.7	11518	11682	11711	11692	11406	10548	10706	10451
mariadb-10.0.23     	794.85	5384.0	9505.0	11516	11730	11660	11678	11367	10497	10623	10397
mariadb-10.0.24     	818.45	5466.6	9597.5	11617	11775	11818	11768	11503	10688	10604	10545
mariadb-10.0.25     	777.35	5379.4	9479.1	11294	11517	11451	11446	11145	10406	10350	10328
mariadb-10.0.26     	828.38	5390.8	9397.8	11353	11493	11459	11458	11156	10339	10332	10298
mariadb-10.0.27     	807.45	5374.8	9397.5	11298	11506	11406	11424	11122	10463	10359	10356
mariadb-10.0.28     	799.78	5346.5	9447.3	11244	11506	11462	11473	11129	10379	10433	10301
mariadb-10.0.29     	793.07	5359.8	9435.0	11204	11446	11382	11386	11094	10317	10312	10279
mariadb-10.0.30     	791.35	5373.8	9453.4	11276	11399	11481	11420	11107	10345	10322	10291
mariadb-10.0.31     	789.67	5359.0	9447.4	11275	11467	11438	11441	11081	10306	10406	10243
mariadb-10.0.32     	782.83	5230.6	9440.2	11273	11478	11506	11497	11120	10342	10331	10252
mariadb-10.0.33     	836.27	5399.8	9395.6	11303	11495	11388	11446	11163	10344	10359	10236
mariadb-10.0.34     	843.00	5378.7	9452.1	11362	11496	11465	11460	11102	10324	10457	10281
mariadb-10.1.2      	816.97	5455.1	9630.2	11591	11768	11798	11777	11449	10442	10370	10345
mariadb-10.1.3      	818.02	5445.9	9503.5	11500	11694	11648	11630	11218	10355	10365	10233
mariadb-10.1.4      	831.47	5509.2	9653.3	11500	11792	11916	11776	11336	10375	10402	10254
mariadb-10.1.5      	848.86	5507.7	9736.4	11749	11971	12106	12000	11532	10474	10512	10339
mariadb-10.1.6      	818.76	5562.0	9541.6	11728	11957	12049	11956	11464	10416	10348	10334
mariadb-10.1.7      	815.96	5505.5	9760.7	11770	12002	12090	11973	11493	10505	10525	10307
mariadb-10.1.8      	853.82	5489.9	9722.0	11753	12063	12109	12023	11507	10546	10446	10366
