This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

Column 1 is in seconds. All other columns are presented relative
to this. 1.00 is the same, bigger numbers indicates slower

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mariadb_5.2.10_ddefault           : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mariadb_5.2.10_debug              : MySQL 5.2.10 MariaDB debug --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  debug
 3 mysql-mariadb_5.2.10_engine_heap        : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --create-options=ENGINE=HEAP --only-missing-tests
  engine-heap
 4 mysql-mariadb_5.2.10_gcc_O2             : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  gcc-O2
 5 mysql-mariadb_5.2.10_omit_frame_pointer : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  omit-frame-pointer
 6 mysql-mariadb_5.2.10_skip_grants        : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  skip-grants
 7 mysql-mariadb_5.2.10_static             : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  static

===========================================================================================================
Operation                    |         1|         2|         3|         4|         5|         6|         7|
                             |mysql-mari|mysql-mari|mysql-mari|mysql-mari|mysql-mari|mysql-mari|mysql-mari|
-----------------------------------------------------------------------------------------------------------
Relative results per test (First column is in seconds):                                                   |
-----------------------------------------------------------------------------------------------------------
ATIS                         |    231.00|     3.377|     1.277|     1.017|     0.987|     1.000|     0.987|
alter-table                  |     63.00|     1.032|     0.905|     0.984|     1.000|     0.921|     1.000|
big-tables                   |    273.00|     2.659|          |     1.048|     0.978|     0.974|     0.989|
connect                      |    182.00|     1.687|     0.929|     1.000|     1.198|     1.071|     0.984|
create                       |   1145.00|     1.019|     1.000|     1.003|     0.997|     1.006|     1.031|
insert                       |    274.00|     3.029|          |     1.164|     1.109|     1.190|     0.978|
select                       |    304.00|     5.970|     1.188|     1.036|     0.980|     0.990|     0.984|
wisconsin                    |    239.00|     2.356|     0.933|     1.025|     0.992|     1.017|     1.021|
-----------------------------------------------------------------------------------------------------------
The results per operation:                                                                                |
-----------------------------------------------------------------------------------------------------------
alter_table_add (992)        |     61.00|     1.049|     0.918|     1.000|     0.984|     0.918|     1.016|
book-keeping (11)            |      1.00|     2.000|    *0.000|     0.000|     0.000|     1.000|     2.000|
connect (50000)              |     19.00|     1.263|     1.000|     1.053|     1.053|     1.000|     1.000|
connect+select_1_row (50000) |     25.00|     1.200|     0.960|     0.960|     1.040|     1.000|     0.960|
connect+select_simple (50000)|     23.00|     1.130|     1.000|     0.957|     1.043|     0.957|     0.957|
count (100)                  |      2.00|     8.500|          |     1.000|     1.000|     1.000|     1.000|
count_distinct (7000)        |     19.00|     4.526|     0.579|     1.053|     0.947|     1.000|     0.947|
count_distinct_2 (7000)      |     29.00|     2.931|     1.034|     1.069|     1.000|     0.966|     1.000|
count_distinct_big (720)     |     16.00|    29.062|    *0.812|     1.000|     0.938|     1.062|     1.000|
count_distinct_group (7000)  |     21.00|     6.286|     1.095|     1.095|     1.000|     1.000|     1.000|
count_distinct_group_on_key (|     25.00|     4.320|     1.080|     1.080|     1.000|     1.040|     1.000|
count_distinct_group_on_key_p|     22.00|     6.045|     1.091|     1.000|     0.955|     0.955|     0.955|
count_distinct_key_prefix (70|     15.00|     5.467|     0.600|     1.000|     0.933|     1.000|     1.000|
count_group (7000)           |     18.00|     4.000|     1.000|     1.056|     0.944|     1.000|     1.000|
count_group_on_key_parts (700|     26.00|     4.423|     0.692|     1.077|     0.962|     1.000|     1.000|
count_group_with_order (7000)|     18.00|     4.056|     1.000|     1.056|     0.944|     1.000|     1.000|
count_on_key (50100)         |     38.00|     5.474|    *1.105|     1.026|     1.079|     0.974|     0.974|
create+drop (10000)          |    554.00|     1.005|     1.007|     1.009|     0.989|     1.009|     1.029|
create_MANY_tables (400)     |     18.00|     0.944|     1.111|     1.111|     1.111|     0.944|     1.056|
create_index (8)             |      1.00|     0.000|     1.000|     1.000|     1.000|     1.000|     0.000|
create_key+drop (10000)      |    573.00|     1.033|     0.990|     0.995|     1.002|     1.005|     1.033|
create_table (31)            |      1.00|     1.000|     2.000|     2.000|     1.000|     1.000|     1.000|
delete_all_many_keys (1)     |      4.00|     6.500|          |     1.000|     1.000|     1.000|     1.000|
delete_big (1)               |      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|     0.000|
delete_big_many_keys (128)   |      4.00|     6.500|          |     1.000|     1.000|     1.000|     1.000|
delete_key (10000)           |      0.00|     2.000|          |     0.000|     0.000|     1.000|     0.000|
delete_range (12)            |      1.00|     7.000|          |     2.000|     2.000|     1.000|     2.000|
drop_index (8)               |      1.00|     1.000|     0.000|     0.000|     1.000|     1.000|     1.000|
drop_table (28)              |      1.00|     0.000|     0.000|     0.000|     0.000|     0.000|     0.000|
drop_table_when_MANY_tables (|      0.00|     1.000|     0.000|     0.000|     0.000|     0.000|     0.000|
insert (350768)              |      3.00|     4.333|    *0.667|     1.000|     1.000|     1.000|     1.000|
insert_duplicates (100000)   |      4.00|     2.250|          |     1.500|     1.000|     1.000|     1.000|
insert_key (100000)          |      6.00|     4.500|          |     1.000|     0.833|     1.000|     1.000|
insert_many_fields (140000)  |    101.00|     3.040|          |     1.059|     0.970|     0.990|     1.000|
insert_select_1_key (1)      |      1.00|     5.000|          |     1.000|     1.000|     1.000|     1.000|
insert_select_2_keys (1)     |      1.00|     4.000|          |     1.000|     1.000|     1.000|     1.000|
min_max (60)                 |      2.00|     6.500|          |     1.000|     1.000|     1.000|     1.000|
min_max_on_key (85000)       |      7.00|     1.429|   *10.143|     1.000|     1.000|     1.143|     1.143|
once_prepared_select (100000)|      7.00|     2.286|          |     1.429|     1.143|     1.143|     1.000|
order_by_big (10)            |      5.00|     1.600|          |     1.000|     1.000|     1.000|     1.000|
order_by_big_key (10)        |      5.00|     1.600|          |     1.000|     1.000|     1.000|     1.200|
order_by_big_key2 (10)       |      5.00|     1.400|          |     1.000|     1.000|     1.000|     1.000|
order_by_big_key_desc (10)   |      6.00|     1.667|          |     0.833|     0.833|     1.000|     0.833|
order_by_big_key_diff (10)   |      5.00|     1.600|          |     1.000|     1.000|     1.000|     1.000|
order_by_big_key_prefix (10) |      5.00|     1.800|          |     1.000|     1.000|     1.000|     1.000|
order_by_key2_diff (500)     |      1.00|     1.000|          |     1.000|     1.000|     1.000|     0.000|
order_by_key_prefix (500)    |      0.00|     1.000|          |     0.000|     0.000|     0.000|     1.000|
order_by_range (500)         |      1.00|     0.000|          |     1.000|     1.000|     1.000|     0.000|
outer_join (10)              |      5.00|     8.800|          |     1.200|     1.200|     1.000|     1.200|
outer_join_found (10)        |      6.00|     7.000|          |     1.000|     0.833|     1.000|     1.000|
outer_join_not_found (500)   |      5.00|     7.800|          |     1.000|     1.000|     1.000|     0.800|
outer_join_on_key (10)       |      5.00|     8.000|          |     1.000|     0.800|     1.000|     1.000|
prepared_select (100000)     |     10.00|     2.000|          |     1.300|     1.000|     1.000|     0.900|
select_1_row (500000)        |     20.00|     2.050|     1.000|     1.050|     1.000|     1.000|     1.000|
select_1_row_cache (500000)  |     19.00|     2.053|     0.947|     1.000|     1.526|     1.053|     1.000|
select_2_rows (500000)       |     22.00|     2.136|     0.909|     1.000|     1.500|     1.455|     1.000|
select_big (80)              |      5.00|     1.600|    *0.000|     1.000|     1.200|     1.000|     1.000|
select_big_str (50000)       |      7.00|     1.429|          |     1.000|     1.143|     1.143|     1.000|
select_cache (10000)         |     19.00|     5.316|     0.895|     0.947|     0.947|     0.842|     0.895|
select_cache2 (10000)        |     19.00|     5.263|     0.947|     1.000|     0.895|     1.000|     0.895|
select_column+column (500000)|     24.00|     2.333|     0.917|     1.000|     1.417|     1.000|     0.917|
select_diff_key (500)        |      0.00|     0.000|          |     0.000|     0.000|     0.000|     1.000|
select_distinct (40000)      |     61.00|     3.098|     0.803|     1.033|     1.000|     1.000|     1.000|
select_group (130111)        |     75.00|     2.947|    *0.760|     0.987|     0.973|     1.000|     0.987|
select_group_when_MANY_tables|      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|     0.000|
select_join (5000)           |     11.00|     3.909|     0.545|     1.091|     1.091|     1.091|     1.000|
select_key (200000)          |     18.00|     1.833|          |     1.000|     1.444|     1.444|     1.000|
select_key2 (200000)         |     20.00|     2.200|          |     1.350|     1.000|     1.350|     0.950|
select_key2_return_key (20000|     18.00|     2.167|          |     1.500|     1.444|     1.500|     1.000|
select_key2_return_prim (2000|     19.00|     2.158|          |     1.368|     1.368|     1.368|     1.000|
select_key_prefix (200000)   |     20.00|     2.300|          |     1.000|     1.000|     1.150|     0.950|
select_key_prefix_join (5000)|     74.00|     4.297|     2.324|     1.027|     0.973|     1.000|     0.973|
select_key_return_key (200000|     18.00|     1.778|          |     1.222|     1.111|     1.389|     0.944|
select_many_fields (140000)  |    172.00|     2.436|          |     1.035|     0.977|     0.965|     0.983|
select_range (410)           |     20.00|     3.750|     1.050|     1.000|     0.950|     1.000|     1.000|
select_range_key2 (25010)    |      2.00|     4.000|          |     2.000|     1.500|     1.500|     1.500|
select_range_prefix (25010)  |      4.00|     2.250|          |     0.750|     0.750|     1.000|     0.750|
select_simple (500000)       |     12.00|     1.417|     1.000|     0.917|     1.000|     1.083|     1.000|
