This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mariadb_5.2.10_ddefault           : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mariadb_5.2.10_debug              : MySQL 5.2.10 MariaDB debug --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  debug
 3 mysql-mariadb_5.2.10_engine_heap        : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --create-options=ENGINE=HEAP --only-missing-tests
  engine-heap
 4 mysql-mariadb_5.2.10_gcc_O2             : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  gcc-O2
 5 mysql-mariadb_5.2.10_omit_frame_pointer : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  omit-frame-pointer
 6 mysql-mariadb_5.2.10_skip_grants        : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  skip-grants
 7 mysql-mariadb_5.2.10_static             : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  static

======================================================================================
Operation                    |      1|      2|      3|      4|      5|      6|      7|
                             |mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|
--------------------------------------------------------------------------------------
Results per test in seconds:                                                         |
--------------------------------------------------------------------------------------
ATIS                         | 231.00| 780.00| 295.00| 235.00| 228.00| 231.00| 228.00|
alter-table                  |  63.00|  65.00|  57.00|  62.00|  63.00|  58.00|  63.00|
big-tables                   | 273.00| 726.00|       | 286.00| 267.00| 266.00| 270.00|
connect                      | 182.00| 307.00| 169.00| 182.00| 218.00| 195.00| 179.00|
create                       |1145.00|1167.00|1145.00|1149.00|1142.00|1152.00|1181.00|
insert                       | 274.00| 830.00|       | 319.00| 304.00| 326.00| 268.00|
select                       | 304.00|1815.00| 361.00| 315.00| 298.00| 301.00| 299.00|
wisconsin                    | 239.00| 563.00| 223.00| 245.00| 237.00| 243.00| 244.00|
--------------------------------------------------------------------------------------
The results per operation:                                                           |
--------------------------------------------------------------------------------------
alter_table_add (992)        |  61.00|  64.00|  56.00|  61.00|  60.00|  56.00|  62.00|
book-keeping (11)            |   1.00|   2.00|  *0.00|   0.00|   0.00|   1.00|   2.00|
connect (50000)              |  19.00|  24.00|  19.00|  20.00|  20.00|  19.00|  19.00|
connect+select_1_row (50000) |  25.00|  30.00|  24.00|  24.00|  26.00|  25.00|  24.00|
connect+select_simple (50000)|  23.00|  26.00|  23.00|  22.00|  24.00|  22.00|  22.00|
count (100)                  |   2.00|  17.00|       |   2.00|   2.00|   2.00|   2.00|
count_distinct (7000)        |  19.00|  86.00|  11.00|  20.00|  18.00|  19.00|  18.00|
count_distinct_2 (7000)      |  29.00|  85.00|  30.00|  31.00|  29.00|  28.00|  29.00|
count_distinct_big (720)     |  16.00| 465.00| *13.00|  16.00|  15.00|  17.00|  16.00|
count_distinct_group (7000)  |  21.00| 132.00|  23.00|  23.00|  21.00|  21.00|  21.00|
count_distinct_group_on_key (|  25.00| 108.00|  27.00|  27.00|  25.00|  26.00|  25.00|
count_distinct_group_on_key_p|  22.00| 133.00|  24.00|  22.00|  21.00|  21.00|  21.00|
count_distinct_key_prefix (70|  15.00|  82.00|   9.00|  15.00|  14.00|  15.00|  15.00|
count_group (7000)           |  18.00|  72.00|  18.00|  19.00|  17.00|  18.00|  18.00|
count_group_on_key_parts (700|  26.00| 115.00|  18.00|  28.00|  25.00|  26.00|  26.00|
count_group_with_order (7000)|  18.00|  73.00|  18.00|  19.00|  17.00|  18.00|  18.00|
count_on_key (50100)         |  38.00| 208.00| *42.00|  39.00|  41.00|  37.00|  37.00|
create+drop (10000)          | 554.00| 557.00| 558.00| 559.00| 548.00| 559.00| 570.00|
create_MANY_tables (400)     |  18.00|  17.00|  20.00|  20.00|  20.00|  17.00|  19.00|
create_index (8)             |   1.00|   0.00|   1.00|   1.00|   1.00|   1.00|   0.00|
create_key+drop (10000)      | 573.00| 592.00| 567.00| 570.00| 574.00| 576.00| 592.00|
create_table (31)            |   1.00|   1.00|   2.00|   2.00|   1.00|   1.00|   1.00|
delete_all_many_keys (1)     |   4.00|  26.00|       |   4.00|   4.00|   4.00|   4.00|
delete_big (1)               |   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|
delete_big_many_keys (128)   |   4.00|  26.00|       |   4.00|   4.00|   4.00|   4.00|
delete_key (10000)           |   0.00|   2.00|       |   0.00|   0.00|   1.00|   0.00|
delete_range (12)            |   1.00|   7.00|       |   2.00|   2.00|   1.00|   2.00|
drop_index (8)               |   1.00|   1.00|   0.00|   0.00|   1.00|   1.00|   1.00|
drop_table (28)              |   1.00|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|
drop_table_when_MANY_tables (|   0.00|   1.00|   0.00|   0.00|   0.00|   0.00|   0.00|
insert (350768)              |   3.00|  13.00|  *2.00|   3.00|   3.00|   3.00|   3.00|
insert_duplicates (100000)   |   4.00|   9.00|       |   6.00|   4.00|   4.00|   4.00|
insert_key (100000)          |   6.00|  27.00|       |   6.00|   5.00|   6.00|   6.00|
insert_many_fields (140000)  | 101.00| 307.00|       | 107.00|  98.00| 100.00| 101.00|
insert_select_1_key (1)      |   1.00|   5.00|       |   1.00|   1.00|   1.00|   1.00|
insert_select_2_keys (1)     |   1.00|   4.00|       |   1.00|   1.00|   1.00|   1.00|
