Benchmark DBD suite: 2.15
Date of test:        2012-01-26  6:23:58
Running tests on:    Linux 3.1.0-1.2-desktop x86_64
Arguments:           --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
Comments:            omit-frame-pointer
Limits from:         mysql,pg
Server version:      MySQL 5.3.3 MariaDB rc
Optimization:        None
Hardware:            

alter-table: Total time: 62 wallclock secs ( 0.07 usr  0.02 sys +  0.00 cusr  0.00 csys =  0.09 CPU)
ATIS: Total time: 237 wallclock secs (77.89 usr  2.90 sys +  0.00 cusr  0.00 csys = 80.79 CPU)
big-tables: Total time: 277 wallclock secs (78.49 usr 13.65 sys +  0.00 cusr  0.00 csys = 92.14 CPU)
connect: Total time: 202 wallclock secs (60.84 usr 21.64 sys +  0.00 cusr  0.00 csys = 82.48 CPU)
create: Total time: 1217 wallclock secs ( 1.34 usr  0.67 sys +  0.00 cusr  0.00 csys =  2.01 CPU)
insert: Total time: 294 wallclock secs (106.26 usr 13.74 sys +  0.00 cusr  0.00 csys = 120.00 CPU)
select: Total time: 302 wallclock secs (30.27 usr  2.22 sys +  0.00 cusr  0.00 csys = 32.49 CPU)
transactions: Test skipped because the database doesn't support transactions
wisconsin: Total time: 249 wallclock secs (138.97 usr  5.41 sys +  0.00 cusr  0.00 csys = 144.38 CPU)

All 9 test executed successfully

Totals per operation:
Operation             seconds     usr     sys     cpu   tests
alter_table_add                       61.00    0.06    0.02    0.08     992 
book-keeping                           1.00    0.00    0.00    0.00      11 
connect                               19.00   10.02    1.99   12.01   50000 
connect+select_1_row                  25.00   10.81    2.77   13.58   50000 
connect+select_simple                 23.00   10.66    2.42   13.08   50000 
count                                  3.00    0.02    0.00    0.02     100 
count_distinct                        20.00    0.52    0.08    0.60    7000 
count_distinct_2                      27.00    0.48    0.12    0.60    7000 
count_distinct_big                    16.00    9.85    0.04    9.89     720 
count_distinct_group                  21.00    1.67    0.18    1.85    7000 
count_distinct_group_on_key           26.00    0.64    0.08    0.72    7000 
count_distinct_group_on_key_parts     21.00    1.67    0.18    1.85    7000 
count_distinct_key_prefix             16.00    0.54    0.09    0.63    7000 
count_group                           17.00    1.73    0.01    1.74    7000 
count_group_on_key_parts              28.00    1.75    0.08    1.83    7000 
count_group_with_order                18.00    1.70    0.01    1.71    7000 
count_on_key                          40.00    3.57    0.54    4.11   50100 
create+drop                          587.00    0.60    0.35    0.95   10000 
create_MANY_tables                    18.00    0.02    0.00    0.02     400 
create_index                           1.00    0.00    0.00    0.00       8 
create_key+drop                      612.00    0.71    0.31    1.02   10000 
create_table                           2.00    0.00    0.01    0.01      31 
delete_all_many_keys                   4.00    0.00    0.00    0.00       1 
delete_big                             0.00    0.00    0.00    0.00       1 
delete_big_many_keys                   3.00    0.00    0.00    0.00     128 
delete_key                             0.00    0.17    0.09    0.26   10000 
delete_range                           2.00    0.00    0.00    0.00      12 
drop_index                             0.00    0.00    0.00    0.00       8 
drop_table                             0.00    0.00    0.00    0.00      28 
drop_table_when_MANY_tables            0.00    0.00    0.00    0.00     400 
insert                                 2.00    0.48    0.11    0.59  350768 
insert_duplicates                      4.00    0.96    0.44    1.40  100000 
insert_key                             5.00    0.52    0.00    0.52  100000 
insert_many_fields                    98.00    5.24    2.14    7.38  140000 
insert_select_1_key                    1.00    0.00    0.00    0.00       1 
insert_select_2_keys                   1.00    0.01    0.00    0.01       1 
min_max                                1.00    0.01    0.00    0.01      60 
min_max_on_key                         8.00    3.76    0.59    4.35   85000 
once_prepared_select                   8.00    1.71    0.53    2.24  100000 
order_by_big                           6.00    4.12    0.05    4.17      10 
order_by_big_key                       5.00    4.23    0.00    4.23      10 
order_by_big_key2                      5.00    4.11    0.04    4.15      10 
order_by_big_key_desc                  5.00    4.20    0.04    4.24      10 
order_by_big_key_diff                  5.00    4.12    0.03    4.15      10 
order_by_big_key_prefix                5.00    4.12    0.04    4.16      10 
order_by_key2_diff                     0.00    0.39    0.01    0.40     500 
order_by_key_prefix                    1.00    0.22    0.00    0.22     500 
order_by_range                         0.00    0.22    0.00    0.22     500 
outer_join                             6.00    0.00    0.00    0.00      10 
outer_join_found                       6.00    0.00    0.00    0.00      10 
outer_join_not_found                   4.00    0.00    0.00    0.00     500 
outer_join_on_key                      4.00    0.00    0.00    0.00      10 
prepared_select                       11.00    4.48    0.66    5.14  100000 
select_1_row                          26.00    5.93    2.86    8.79  500000 
select_1_row_cache                    23.00    3.76    2.29    6.05  500000 
select_2_rows                         26.00    4.57    2.06    6.63  500000 
select_big                             5.00    4.26    0.00    4.26      80 
select_big_str                         8.00    3.51    0.99    4.50   50000 
select_cache                          17.00    0.57    0.10    0.67   10000 
select_cache2                         16.00    0.58    0.11    0.69   10000 
select_column+column                  27.00    3.95    2.24    6.19  500000 
select_diff_key                        0.00    0.04    0.00    0.04     500 
select_distinct                       62.00   16.42    0.49   16.91   40000 
select_group                          79.00   15.16    1.44   16.60  130111 
select_group_when_MANY_tables          0.00    0.01    0.01    0.02     400 
select_join                           12.00    4.33    0.11    4.44    5000 
select_key                            20.00    9.46    1.44   10.90  200000 
select_key2                           24.00   10.23    1.80   12.03  200000 
select_key2_return_key                22.00    9.93    1.55   11.48  200000 
select_key2_return_prim               22.00    9.57    1.75   11.32  200000 
select_key_prefix                     24.00   10.49    1.59   12.08  200000 
select_key_prefix_join                73.00   36.05    0.58   36.63    5000 
select_key_return_key                 19.00    9.47    1.42   10.89  200000 
select_many_fields                   179.00   73.25   11.51   84.76  140000 
select_range                          19.00    1.70    0.03    1.73     410 
select_range_key2                      4.00    1.22    0.12    1.34   25010 
select_range_prefix                    4.00    1.22    0.13    1.35   25010 
select_simple                         12.00    4.01    2.00    6.01  500000 
select_simple_cache                   13.00    3.61    2.02    5.63  500000 
select_simple_join                    13.00    5.95    0.27    6.22   25000 
update_big                             4.00    0.00    0.00    0.00      10 
update_of_key                          4.00    0.40    0.21    0.61   50000 
update_of_key_big                      2.00    0.01    0.00    0.01     501 
update_of_primary_key_many_keys        2.00    0.01    0.01    0.02     256 
update_with_key                       16.00    2.02    1.10    3.12  300000 
update_with_key_prefix                 6.00    1.36    0.51    1.87  100000 
wisc_benchmark                       249.00  138.97    5.41  144.38   50014 
TOTALS                              2834.00  492.11   60.20  552.31 6441162 
