This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

Column 1 is in seconds. All other columns are presented relative
to this. 1.00 is the same, bigger numbers indicates slower

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mariadb_5.3.3_ddefault            : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mariadb_5.3.3_debug               : MySQL 5.3.3 MariaDB rc debug --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  debug
 3 mysql-mariadb_5.3.3_engine_heap         : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --create-options=ENGINE=HEAP --only-missing-tests
  engine-heap
 4 mysql-mariadb_5.3.3_gcc_O2              : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  gcc-O2
 5 mysql-mariadb_5.3.3_omit_frame_pointer  : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  omit-frame-pointer
 6 mysql-mariadb_5.3.3_skip_grants         : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  skip-grants
 7 mysql-mariadb_5.3.3_static              : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  static

===========================================================================================================
Operation                    |         1|         2|         3|         4|         5|         6|         7|
                             |mysql-mari|mysql-mari|mysql-mari|mysql-mari|mysql-mari|mysql-mari|mysql-mari|
-----------------------------------------------------------------------------------------------------------
Relative results per test (First column is in seconds):                                                   |
-----------------------------------------------------------------------------------------------------------
ATIS                         |    241.00|     3.369|     1.407|     1.012|     0.983|     1.004|     0.971|
alter-table                  |     59.00|     1.102|     0.949|     1.034|     1.051|     1.000|     1.085|
big-tables                   |    283.00|     2.710|          |     1.021|     0.979|     0.989|     0.979|
connect                      |    204.00|     1.711|     0.907|     1.020|     0.990|     0.985|     1.201|
create                       |   1216.00|     0.975|     1.001|     1.001|     1.001|     1.004|     0.998|
insert                       |    333.00|     2.622|          |     0.991|     0.883|     1.045|     0.871|
select                       |    322.00|     5.919|     1.130|     0.981|     0.938|     0.997|     0.975|
wisconsin                    |    250.00|     2.300|     0.908|     1.008|     0.996|     1.004|     0.964|
-----------------------------------------------------------------------------------------------------------
The results per operation:                                                                                |
-----------------------------------------------------------------------------------------------------------
alter_table_add (992)        |     58.00|     1.103|     0.948|     1.017|     1.052|     0.966|     1.069|
book-keeping (11)            |      2.00|     1.500|    *0.000|     1.000|     0.500|     0.000|     0.500|
connect (50000)              |     19.00|     1.263|     1.053|     1.000|     1.000|     1.053|     1.053|
connect+select_1_row (50000) |     25.00|     1.240|     0.960|     0.960|     1.000|     1.000|     0.960|
connect+select_simple (50000)|     23.00|     1.130|     0.957|     1.000|     1.000|     0.957|     0.957|
count (100)                  |      3.00|     6.333|          |     1.000|     1.000|     1.333|     1.000|
count_distinct (7000)        |     20.00|     4.600|     0.600|     0.950|     1.000|     1.000|     1.000|
count_distinct_2 (7000)      |     28.00|     3.393|     1.071|     1.107|     0.964|     1.036|     1.036|
count_distinct_big (720)     |     17.00|    27.412|    *0.706|     0.941|     0.941|     0.882|     0.882|
count_distinct_group (7000)  |     21.00|     6.714|     1.143|     1.048|     1.000|     1.000|     1.048|
count_distinct_group_on_key (|     27.00|     4.148|     1.037|     1.000|     0.963|     0.963|     0.963|
count_distinct_group_on_key_p|     21.00|     6.714|     1.095|     1.000|     1.000|     1.048|     1.000|
count_distinct_key_prefix (70|     17.00|     5.000|     0.529|     0.941|     0.941|     1.000|     0.941|
count_group (7000)           |     21.00|     3.714|     0.810|     0.905|     0.810|     0.905|     0.952|
count_group_on_key_parts (700|     29.00|     4.034|     0.586|     0.897|     0.966|     0.931|     0.931|
count_group_with_order (7000)|     21.00|     3.714|     0.810|     0.905|     0.857|     0.905|     0.952|
count_on_key (50100)         |     43.00|     4.977|    *1.023|     0.930|     0.930|     1.093|     0.907|
create+drop (10000)          |    582.00|     0.997|     1.027|     1.015|     1.009|     1.009|     1.000|
create_MANY_tables (400)     |     17.00|     1.000|     1.176|     1.059|     1.059|     1.059|     1.176|
create_index (8)             |      1.00|     1.000|     1.000|     1.000|     1.000|     1.000|     1.000|
create_key+drop (10000)      |    617.00|     0.955|     0.971|     0.985|     0.992|     0.998|     0.992|
create_table (31)            |      2.00|     1.000|     1.000|     0.500|     1.000|     0.500|     1.000|
delete_all_many_keys (1)     |      4.00|     6.500|          |     1.250|     1.000|     1.000|     1.000|
delete_big (1)               |      0.00|     1.000|     0.000|     1.000|     0.000|     0.000|     0.000|
delete_big_many_keys (128)   |      4.00|     6.500|          |     1.250|     0.750|     1.000|     1.000|
delete_key (10000)           |      0.00|     1.000|          |     1.000|     0.000|     1.000|     0.000|
delete_range (12)            |      1.00|     8.000|          |     1.000|     2.000|     1.000|     2.000|
drop_index (8)               |      0.00|     0.000|     0.000|     1.000|     0.000|     1.000|     1.000|
drop_table (28)              |      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|     0.000|
drop_table_when_MANY_tables (|      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|     0.000|
insert (350768)              |      3.00|     3.333|    *0.000|     1.000|     0.667|     1.333|     1.000|
insert_duplicates (100000)   |      4.00|     2.250|          |     1.000|     1.000|     1.000|     1.000|
insert_key (100000)          |      6.00|     4.500|          |     1.000|     0.833|     1.000|     0.833|
insert_many_fields (140000)  |    103.00|     3.097|          |     1.019|     0.951|     1.000|     0.990|
insert_select_1_key (1)      |      1.00|     4.000|          |     0.000|     1.000|     0.000|     1.000|
insert_select_2_keys (1)     |      1.00|     5.000|          |     1.000|     1.000|     1.000|     1.000|
min_max (60)                 |      2.00|     6.500|          |     1.000|     0.500|     1.500|     1.000|
min_max_on_key (85000)       |      8.00|     1.625|    *9.000|     1.125|     1.000|     1.000|     1.000|
once_prepared_select (100000)|      8.00|     2.250|          |     1.000|     1.000|     1.000|     1.125|
order_by_big (10)            |      5.00|     1.600|          |     1.000|     1.200|     1.000|     1.000|
order_by_big_key (10)        |      5.00|     1.600|          |     1.000|     1.000|     1.000|     1.000|
order_by_big_key2 (10)       |      4.00|     2.000|          |     1.250|     1.250|     1.250|     1.250|
order_by_big_key_desc (10)   |      6.00|     1.667|          |     0.833|     0.833|     1.000|     1.000|
order_by_big_key_diff (10)   |      6.00|     1.333|          |     0.833|     0.833|     0.833|     0.833|
order_by_big_key_prefix (10) |      5.00|     1.800|          |     1.000|     1.000|     1.000|     0.800|
order_by_key2_diff (500)     |      0.00|     1.000|          |     1.000|     0.000|     1.000|     1.000|
order_by_key_prefix (500)    |      1.00|     1.000|          |     0.000|     1.000|     0.000|     0.000|
order_by_range (500)         |      0.00|     0.000|          |     1.000|     0.000|     1.000|     1.000|
outer_join (10)              |      6.00|     7.333|          |     1.000|     1.000|     1.000|     0.833|
outer_join_found (10)        |      6.00|     7.333|          |     1.000|     1.000|     1.000|     1.000|
outer_join_not_found (500)   |      4.00|    10.000|          |     1.250|     1.000|     1.250|     1.000|
outer_join_on_key (10)       |      4.00|    10.500|          |     1.000|     1.000|     1.250|     1.250|
prepared_select (100000)     |     11.00|     2.182|          |     1.000|     1.000|     1.091|     0.909|
select_1_row (500000)        |     23.00|     2.087|     1.000|     1.043|     1.130|     1.000|     1.478|
select_1_row_cache (500000)  |     27.00|     1.519|     0.778|     0.852|     0.852|     0.815|     1.185|
select_2_rows (500000)       |     26.00|     1.962|     0.923|     1.000|     1.000|     1.000|     1.423|
select_big (80)              |      5.00|     1.600|    *0.000|     1.000|     1.000|     1.000|     1.000|
select_big_str (50000)       |      9.00|     1.222|          |     0.889|     0.889|     1.000|     1.000|
select_cache (10000)         |     18.00|     6.833|     1.000|     1.000|     0.944|     1.056|     1.056|
select_cache2 (10000)        |     17.00|     6.588|     1.059|     1.176|     0.941|     1.118|     1.118|
select_column+column (500000)|     27.00|     2.333|     0.926|     1.148|     1.000|     1.000|     1.407|
select_diff_key (500)        |      0.00|     0.000|          |     0.000|     0.000|     0.000|     0.000|
select_distinct (40000)      |     62.00|     3.129|     0.806|     1.032|     1.000|     1.016|     0.984|
select_group (130111)        |     80.00|     2.900|    *0.738|     0.988|     0.988|     1.000|     0.963|
select_group_when_MANY_tables|      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|     0.000|
select_join (5000)           |     12.00|     3.833|     0.583|     1.000|     1.000|     1.000|     1.000|
select_key (200000)          |     27.00|     1.407|          |     0.926|     0.741|     1.037|     0.704|
select_key2 (200000)         |     30.00|     1.533|          |     0.767|     0.800|     0.967|     0.767|
select_key2_return_key (20000|     28.00|     1.571|          |     1.000|     0.786|     1.036|     0.786|
select_key2_return_prim (2000|     26.00|     1.692|          |     1.115|     0.846|     1.115|     0.846|
select_key_prefix (200000)   |     30.00|     1.633|          |     0.933|     0.800|     0.900|     0.767|
select_key_prefix_join (5000)|     76.00|     4.355|     2.789|     1.026|     0.961|     1.013|     0.974|
select_key_return_key (200000|     27.00|     1.333|          |     0.778|     0.704|     1.000|     0.704|
select_many_fields (140000)  |    179.00|     2.497|          |     1.028|     1.000|     0.989|     0.978|
select_range (410)           |     22.00|     3.273|     1.000|     0.955|     0.864|     0.909|     0.955|
select_range_key2 (25010)    |      4.00|     2.000|          |     1.000|     1.000|     0.750|     1.000|
select_range_prefix (25010)  |      4.00|     2.750|          |     1.000|     1.000|     1.000|     0.750|
select_simple (500000)       |     13.00|     2.308|     1.000|     1.000|     0.923|     1.000|     1.000|
