This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mariadb_5.3.3_ddefault            : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mariadb_5.3.3_debug               : MySQL 5.3.3 MariaDB rc debug --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  debug
 3 mysql-mariadb_5.3.3_engine_heap         : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --create-options=ENGINE=HEAP --only-missing-tests
  engine-heap
 4 mysql-mariadb_5.3.3_gcc_O2              : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  gcc-O2
 5 mysql-mariadb_5.3.3_omit_frame_pointer  : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  omit-frame-pointer
 6 mysql-mariadb_5.3.3_skip_grants         : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  skip-grants
 7 mysql-mariadb_5.3.3_static              : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  static

======================================================================================
Operation                    |      1|      2|      3|      4|      5|      6|      7|
                             |mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|
--------------------------------------------------------------------------------------
Results per test in seconds:                                                         |
--------------------------------------------------------------------------------------
ATIS                         | 241.00| 812.00| 339.00| 244.00| 237.00| 242.00| 234.00|
alter-table                  |  59.00|  65.00|  56.00|  61.00|  62.00|  59.00|  64.00|
big-tables                   | 283.00| 767.00|       | 289.00| 277.00| 280.00| 277.00|
connect                      | 204.00| 349.00| 185.00| 208.00| 202.00| 201.00| 245.00|
create                       |1216.00|1186.00|1217.00|1217.00|1217.00|1221.00|1214.00|
insert                       | 333.00| 873.00|       | 330.00| 294.00| 348.00| 290.00|
select                       | 322.00|1906.00| 364.00| 316.00| 302.00| 321.00| 314.00|
wisconsin                    | 250.00| 575.00| 227.00| 252.00| 249.00| 251.00| 241.00|
--------------------------------------------------------------------------------------
The results per operation:                                                           |
--------------------------------------------------------------------------------------
alter_table_add (992)        |  58.00|  64.00|  55.00|  59.00|  61.00|  56.00|  62.00|
book-keeping (11)            |   2.00|   3.00|  *0.00|   2.00|   1.00|   0.00|   1.00|
connect (50000)              |  19.00|  24.00|  20.00|  19.00|  19.00|  20.00|  20.00|
connect+select_1_row (50000) |  25.00|  31.00|  24.00|  24.00|  25.00|  25.00|  24.00|
connect+select_simple (50000)|  23.00|  26.00|  22.00|  23.00|  23.00|  22.00|  22.00|
count (100)                  |   3.00|  19.00|       |   3.00|   3.00|   4.00|   3.00|
count_distinct (7000)        |  20.00|  92.00|  12.00|  19.00|  20.00|  20.00|  20.00|
count_distinct_2 (7000)      |  28.00|  95.00|  30.00|  31.00|  27.00|  29.00|  29.00|
count_distinct_big (720)     |  17.00| 466.00| *12.00|  16.00|  16.00|  15.00|  15.00|
count_distinct_group (7000)  |  21.00| 141.00|  24.00|  22.00|  21.00|  21.00|  22.00|
count_distinct_group_on_key (|  27.00| 112.00|  28.00|  27.00|  26.00|  26.00|  26.00|
count_distinct_group_on_key_p|  21.00| 141.00|  23.00|  21.00|  21.00|  22.00|  21.00|
count_distinct_key_prefix (70|  17.00|  85.00|   9.00|  16.00|  16.00|  17.00|  16.00|
count_group (7000)           |  21.00|  78.00|  17.00|  19.00|  17.00|  19.00|  20.00|
count_group_on_key_parts (700|  29.00| 117.00|  17.00|  26.00|  28.00|  27.00|  27.00|
count_group_with_order (7000)|  21.00|  78.00|  17.00|  19.00|  18.00|  19.00|  20.00|
count_on_key (50100)         |  43.00| 214.00| *44.00|  40.00|  40.00|  47.00|  39.00|
create+drop (10000)          | 582.00| 580.00| 598.00| 591.00| 587.00| 587.00| 582.00|
create_MANY_tables (400)     |  17.00|  17.00|  20.00|  18.00|  18.00|  18.00|  20.00|
create_index (8)             |   1.00|   1.00|   1.00|   1.00|   1.00|   1.00|   1.00|
create_key+drop (10000)      | 617.00| 589.00| 599.00| 608.00| 612.00| 616.00| 612.00|
create_table (31)            |   2.00|   2.00|   2.00|   1.00|   2.00|   1.00|   2.00|
delete_all_many_keys (1)     |   4.00|  26.00|       |   5.00|   4.00|   4.00|   4.00|
delete_big (1)               |   0.00|   1.00|   0.00|   1.00|   0.00|   0.00|   0.00|
delete_big_many_keys (128)   |   4.00|  26.00|       |   5.00|   3.00|   4.00|   4.00|
delete_key (10000)           |   0.00|   1.00|       |   1.00|   0.00|   1.00|   0.00|
delete_range (12)            |   1.00|   8.00|       |   1.00|   2.00|   1.00|   2.00|
drop_index (8)               |   0.00|   0.00|   0.00|   1.00|   0.00|   1.00|   1.00|
drop_table (28)              |   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|
drop_table_when_MANY_tables (|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|
insert (350768)              |   3.00|  10.00|  *0.00|   3.00|   2.00|   4.00|   3.00|
insert_duplicates (100000)   |   4.00|   9.00|       |   4.00|   4.00|   4.00|   4.00|
insert_key (100000)          |   6.00|  27.00|       |   6.00|   5.00|   6.00|   5.00|
insert_many_fields (140000)  | 103.00| 319.00|       | 105.00|  98.00| 103.00| 102.00|
insert_select_1_key (1)      |   1.00|   4.00|       |   0.00|   1.00|   0.00|   1.00|
