Benchmark DBD suite: 2.15
Date of test:        2012-01-30 23:43:43
Running tests on:    Linux 3.1.0-1.2-desktop x86_64
Arguments:           --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
Comments:            omit-frame-pointer
Limits from:         mysql,pg
Server version:      MySQL 5.5.21 MariaDB
Optimization:        None
Hardware:            

alter-table: Total time: 14 wallclock secs ( 0.06 usr  0.02 sys +  0.00 cusr  0.00 csys =  0.08 CPU)
ATIS: Total time: 235 wallclock secs (78.98 usr  2.37 sys +  0.00 cusr  0.00 csys = 81.35 CPU)
big-tables: Total time: 288 wallclock secs (78.98 usr 13.79 sys +  0.00 cusr  0.00 csys = 92.77 CPU)
connect: Total time: 244 wallclock secs (74.45 usr 26.82 sys +  0.00 cusr  0.00 csys = 101.27 CPU)
create: Total time:  8 wallclock secs ( 1.00 usr  0.36 sys +  0.00 cusr  0.00 csys =  1.36 CPU)
insert: Total time: 305 wallclock secs (106.92 usr 15.24 sys +  0.00 cusr  0.00 csys = 122.16 CPU)
select: Total time: 298 wallclock secs (30.32 usr  2.49 sys +  0.00 cusr  0.00 csys = 32.81 CPU)
transactions: Test skipped because the database doesn't support transactions
wisconsin: Total time: 251 wallclock secs (141.17 usr  4.53 sys +  0.00 cusr  0.00 csys = 145.70 CPU)

All 9 test executed successfully

Totals per operation:
Operation             seconds     usr     sys     cpu   tests
alter_table_add                       13.00    0.05    0.01    0.06     992 
book-keeping                           0.00    0.00    0.00    0.00      11 
connect                               20.00   10.22    2.02   12.24   50000 
connect+select_1_row                  27.00   11.18    2.90   14.08   50000 
connect+select_simple                 24.00   11.14    2.30   13.44   50000 
count                                  2.00    0.01    0.01    0.02     100 
count_distinct                        19.00    0.46    0.11    0.57    7000 
count_distinct_2                      30.00    0.52    0.11    0.63    7000 
count_distinct_big                    17.00   10.04    0.09   10.13     720 
count_distinct_group                  21.00    1.72    0.02    1.74    7000 
count_distinct_group_on_key           22.00    0.56    0.10    0.66    7000 
count_distinct_group_on_key_parts     21.00    1.62    0.20    1.82    7000 
count_distinct_key_prefix              1.00    0.48    0.09    0.57    7000 
count_group                           20.00    1.70    0.08    1.78    7000 
count_group_on_key_parts              26.00    1.75    0.08    1.83    7000 
count_group_with_order                19.00    1.58    0.10    1.68    7000 
count_on_key                          40.00    3.66    0.60    4.26   50100 
create+drop                            3.00    0.43    0.17    0.60   10000 
create_MANY_tables                     0.00    0.01    0.00    0.01     400 
create_index                           1.00    0.00    0.00    0.00       8 
create_key+drop                        5.00    0.55    0.18    0.73   10000 
create_table                           0.00    0.00    0.00    0.00      31 
delete_all_many_keys                   4.00    0.00    0.00    0.00       1 
delete_big                             0.00    0.00    0.00    0.00       1 
delete_big_many_keys                   4.00    0.00    0.00    0.00     128 
delete_key                             1.00    0.07    0.04    0.11   10000 
delete_range                           1.00    0.00    0.00    0.00      12 
drop_index                             0.00    0.00    0.00    0.00       8 
drop_table                             0.00    0.00    0.00    0.00      28 
drop_table_when_MANY_tables            0.00    0.00    0.00    0.00     400 
insert                                 3.00    0.47    0.13    0.60  350768 
insert_duplicates                      4.00    0.96    0.45    1.41  100000 
insert_key                             6.00    0.54    0.00    0.54  100000 
insert_many_fields                   101.00    5.73    1.43    7.16  140000 
insert_select_1_key                    1.00    0.00    0.00    0.00       1 
insert_select_2_keys                   0.00    0.00    0.00    0.00       1 
min_max                                2.00    0.01    0.00    0.01      60 
min_max_on_key                         8.00    3.77    0.61    4.38   85000 
once_prepared_select                   8.00    1.83    0.54    2.37  100000 
order_by_big                           5.00    4.04    0.03    4.07      10 
order_by_big_key                       5.00    4.19    0.00    4.19      10 
order_by_big_key2                      4.00    4.02    0.00    4.02      10 
order_by_big_key_desc                  6.00    4.16    0.00    4.16      10 
