This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

Column 1 is in seconds. All other columns are presented relative
to this. 1.00 is the same, bigger numbers indicates slower

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mariadb_5.5_ddefault              : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mariadb_5.5_debug                 : MySQL 5.5.21 MariaDB debug --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  debug
 3 mysql-mariadb_5.5_engine_heap           : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --create-options=ENGINE=HEAP --only-missing-tests
  engine-heap
 4 mysql-mariadb_5.5_gcc_O2                : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  gcc-O2
 5 mysql-mariadb_5.5_omit_frame_pointer    : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  omit-frame-pointer
 6 mysql-mariadb_5.5_skip_grants           : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  skip-grants

================================================================================================
Operation                    |         1|         2|         3|         4|         5|         6|
                             |mysql-mari|mysql-mari|mysql-mari|mysql-mari|mysql-mari|mysql-mari|
------------------------------------------------------------------------------------------------
Relative results per test (First column is in seconds):                                        |
------------------------------------------------------------------------------------------------
ATIS                         |    241.00|     3.544|     1.448|     0.996|     0.975|     1.008|
alter-table                  |     15.00|     1.333|     0.800|     0.933|     0.933|     1.000|
big-tables                   |    298.00|     2.852|          |     1.017|     0.966|     1.010|
connect                      |    215.00|     2.433|     0.926|     1.009|     1.135|     1.005|
create                       |      8.00|     2.500|     0.750|     1.000|     1.000|     1.000|
insert                       |    310.00|     3.248|          |     1.000|     0.984|     0.994|
select                       |    312.00|     6.048|     1.228|     1.006|     0.955|     1.010|
wisconsin                    |    256.00|     2.309|     0.922|     1.020|     0.980|     1.016|
------------------------------------------------------------------------------------------------
The results per operation:                                                                     |
------------------------------------------------------------------------------------------------
alter_table_add (992)        |     14.00|     1.357|     0.714|     1.000|     0.929|     1.000|
book-keeping (11)            |      1.00|     2.000|    *0.000|     2.000|     0.000|     1.000|
connect (50000)              |     19.00|     2.053|     1.105|     1.105|     1.053|     1.053|
connect+select_1_row (50000) |     28.00|     1.821|     0.893|     0.964|     0.964|     0.929|
connect+select_simple (50000)|     24.00|     1.958|     0.958|     1.000|     1.000|     1.000|
count (100)                  |      3.00|     7.000|          |     1.000|     0.667|     0.667|
count_distinct (7000)        |     20.00|     4.950|     0.650|     1.000|     0.950|     1.050|
count_distinct_2 (7000)      |     33.00|     3.061|     0.939|     0.909|     0.909|     0.909|
count_distinct_big (720)     |     16.00|    29.188|    *0.750|     1.062|     1.062|     1.062|
count_distinct_group (7000)  |     22.00|     6.409|     1.091|     1.000|     0.955|     1.000|
count_distinct_group_on_key (|     28.00|     3.929|     1.000|     1.000|     0.786|     0.964|
count_distinct_group_on_key_p|     22.00|     6.409|     1.136|     0.955|     0.955|     1.000|
count_distinct_key_prefix (70|      1.00|     2.000|     9.000|     1.000|     1.000|     1.000|
count_group (7000)           |     20.00|     3.950|     0.900|     1.000|     1.000|     0.950|
count_group_on_key_parts (700|     26.00|     4.615|     0.692|     1.000|     1.000|     1.038|
count_group_with_order (7000)|     19.00|     4.211|     0.947|     1.000|     1.000|     1.000|
count_on_key (50100)         |     40.00|     5.775|    *1.150|     1.075|     1.000|     1.050|
create+drop (10000)          |      3.00|     2.667|     0.667|     1.000|     1.000|     1.000|
create_MANY_tables (400)     |      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|
create_index (8)             |      0.00|     0.000|     1.000|     0.000|     1.000|     1.000|
create_key+drop (10000)      |      4.00|     3.000|     1.000|     1.250|     1.250|     1.250|
create_table (31)            |      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|
delete_all_many_keys (1)     |      4.00|     6.750|          |     1.000|     1.000|     1.000|
delete_big (1)               |      0.00|     1.000|     0.000|     0.000|     0.000|     0.000|
delete_big_many_keys (128)   |      4.00|     6.750|          |     1.000|     1.000|     1.000|
delete_key (10000)           |      1.00|     2.000|          |     1.000|     1.000|     1.000|
delete_range (12)            |      1.00|     8.000|          |     1.000|     1.000|     1.000|
drop_index (8)               |      1.00|     1.000|     0.000|     0.000|     0.000|     0.000|
drop_table (28)              |      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|
drop_table_when_MANY_tables (|      0.00|     0.000|     0.000|     0.000|     0.000|     0.000|
insert (350768)              |      2.00|     7.000|    *0.500|     1.500|     1.500|     1.000|
insert_duplicates (100000)   |      4.00|     2.250|          |     1.000|     1.000|     1.000|
insert_key (100000)          |      6.00|     4.833|          |     0.833|     1.000|     1.000|
insert_many_fields (140000)  |    105.00|     3.390|          |     1.010|     0.962|     1.019|
insert_select_1_key (1)      |      0.00|     5.000|          |     0.000|     1.000|     0.000|
insert_select_2_keys (1)     |      1.00|     5.000|          |     1.000|     0.000|     1.000|
min_max (60)                 |      2.00|     7.000|          |     1.000|     1.000|     1.000|
min_max_on_key (85000)       |      8.00|     1.875|    *9.750|     1.000|     1.000|     1.000|
once_prepared_select (100000)|      9.00|     2.778|          |     1.111|     0.889|     1.111|
order_by_big (10)            |      6.00|     1.333|          |     0.833|     0.833|     0.833|
order_by_big_key (10)        |      5.00|     1.800|          |     1.000|     1.000|     1.000|
order_by_big_key2 (10)       |      5.00|     1.600|          |     1.000|     0.800|     1.000|
order_by_big_key_desc (10)   |      6.00|     1.667|          |     0.833|     1.000|     1.000|
order_by_big_key_diff (10)   |      5.00|     1.600|          |     1.000|     1.200|     1.000|
order_by_big_key_prefix (10) |      5.00|     1.800|          |     1.200|     1.000|     1.000|
order_by_key2_diff (500)     |      0.00|     1.000|          |     1.000|     0.000|     1.000|
order_by_key_prefix (500)    |      1.00|     1.000|          |     0.000|     1.000|     1.000|
order_by_range (500)         |      0.00|     1.000|          |     1.000|     0.000|     0.000|
outer_join (10)              |      7.00|     6.429|          |     0.857|     0.857|     0.857|
outer_join_found (10)        |      5.00|     8.800|          |     1.000|     1.000|     1.000|
outer_join_not_found (500)   |      5.00|     8.000|          |     1.000|     1.000|     1.000|
outer_join_on_key (10)       |      5.00|     8.000|          |     1.200|     1.000|     1.000|
prepared_select (100000)     |     12.00|     2.583|          |     1.000|     1.083|     1.000|
select_1_row (500000)        |     26.00|     2.808|     1.000|     1.038|     1.000|     1.038|
select_1_row_cache (500000)  |     26.00|     2.731|     0.885|     0.962|     1.231|     0.962|
select_2_rows (500000)       |     29.00|     2.793|     0.931|     1.000|     1.345|     1.034|
select_big (80)              |      5.00|     1.600|    *0.000|     1.000|     1.000|     1.000|
select_big_str (50000)       |      8.00|     2.000|          |     1.000|     1.250|     1.000|
select_cache (10000)         |     23.00|     5.478|     0.913|     1.000|     0.913|     1.043|
select_cache2 (10000)        |     22.00|     6.136|     0.909|     1.045|     0.955|     1.136|
select_column+column (500000)|     30.00|     3.133|     0.933|     1.033|     1.367|     1.000|
select_diff_key (500)        |      0.00|     0.000|          |     0.000|     0.000|     0.000|
select_distinct (40000)      |     60.00|     3.317|     0.783|     0.983|     0.983|     1.000|
select_group (130111)        |     80.00|     3.263|    *0.762|     0.988|     0.988|     1.025|
select_group_when_MANY_tables|      1.00|     0.000|     0.000|     0.000|     0.000|     0.000|
select_join (5000)           |     12.00|     3.917|     0.583|     1.083|     1.083|     1.000|
select_key (200000)          |     22.00|     2.136|          |     0.909|     0.909|     0.909|
select_key2 (200000)         |     25.00|     2.520|          |     1.040|     1.040|     1.000|
select_key2_return_key (20000|     24.00|     2.375|          |     1.000|     1.000|     0.958|
select_key2_return_prim (2000|     24.00|     2.542|          |     1.000|     1.000|     1.042|
select_key_prefix (200000)   |     25.00|     2.520|          |     1.000|     1.040|     1.040|
select_key_prefix_join (5000)|     79.00|     4.291|     2.835|     1.000|     0.949|     1.013|
select_key_return_key (200000|     20.00|     2.300|          |     1.000|     0.950|     1.000|
select_many_fields (140000)  |    192.00|     2.573|          |     1.026|     0.974|     1.010|
select_range (410)           |     21.00|     3.524|     1.048|     1.000|     0.952|     0.952|
select_range_key2 (25010)    |      4.00|     2.750|          |     1.000|     1.000|     0.500|
select_range_prefix (25010)  |      4.00|     3.000|          |     1.000|     1.000|     1.000|
select_simple (500000)       |     13.00|     2.000|     1.000|     1.000|     1.000|     1.000|
select_simple_cache (500000) |     12.00|     2.083|     1.083|     1.000|     1.000|     1.083|
select_simple_join (25000)   |     14.00|     2.500|     0.714|     1.000|     0.929|     1.000|
update_big (10)              |      3.00|     3.000|          |     1.333|     1.000|     1.333|
update_of_key (50000)        |      3.00|     4.333|          |     1.000|     1.333|     1.333|
update_of_key_big (501)      |      2.00|     8.500|          |     1.000|     1.000|     1.000|
update_of_primary_key_many_ke|      3.00|     5.000|          |     0.667|     1.000|     0.667|
update_with_key (300000)     |     18.00|     2.722|          |     1.000|     1.000|     1.000|
update_with_key_prefix (10000|      6.00|     3.000|          |     1.000|     1.000|     1.000|
wisc_benchmark (50014)       |    256.00|     2.301|     0.918|     1.020|     0.980|     1.016|
------------------------------------------------------------------------------------------------
TOTALS                       |   1650.00|     3.477|     0.718|     1.008|     0.994|     1.007|
================================================================================================
