This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mariadb_5.5_ddefault              : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mariadb_5.5_debug                 : MySQL 5.5.21 MariaDB debug --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  debug
 3 mysql-mariadb_5.5_engine_heap           : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --create-options=ENGINE=HEAP --only-missing-tests
  engine-heap
 4 mysql-mariadb_5.5_gcc_O2                : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  gcc-O2
 5 mysql-mariadb_5.5_omit_frame_pointer    : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  omit-frame-pointer
 6 mysql-mariadb_5.5_skip_grants           : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  skip-grants

==============================================================================
Operation                    |      1|      2|      3|      4|      5|      6|
                             |mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|
------------------------------------------------------------------------------
Results per test in seconds:                                                 |
------------------------------------------------------------------------------
ATIS                         | 241.00| 854.00| 349.00| 240.00| 235.00| 243.00|
alter-table                  |  15.00|  20.00|  12.00|  14.00|  14.00|  15.00|
big-tables                   | 298.00| 850.00|       | 303.00| 288.00| 301.00|
connect                      | 215.00| 523.00| 199.00| 217.00| 244.00| 216.00|
create                       |   8.00|  20.00|   6.00|   8.00|   8.00|   8.00|
insert                       | 310.00|1007.00|       | 310.00| 305.00| 308.00|
select                       | 312.00|1887.00| 383.00| 314.00| 298.00| 315.00|
wisconsin                    | 256.00| 591.00| 236.00| 261.00| 251.00| 260.00|
------------------------------------------------------------------------------
The results per operation:                                                   |
------------------------------------------------------------------------------
alter_table_add (992)        |  14.00|  19.00|  10.00|  14.00|  13.00|  14.00|
book-keeping (11)            |   1.00|   2.00|  *0.00|   2.00|   0.00|   1.00|
connect (50000)              |  19.00|  39.00|  21.00|  21.00|  20.00|  20.00|
connect+select_1_row (50000) |  28.00|  51.00|  25.00|  27.00|  27.00|  26.00|
connect+select_simple (50000)|  24.00|  47.00|  23.00|  24.00|  24.00|  24.00|
count (100)                  |   3.00|  21.00|       |   3.00|   2.00|   2.00|
count_distinct (7000)        |  20.00|  99.00|  13.00|  20.00|  19.00|  21.00|
count_distinct_2 (7000)      |  33.00| 101.00|  31.00|  30.00|  30.00|  30.00|
count_distinct_big (720)     |  16.00| 467.00| *12.00|  17.00|  17.00|  17.00|
count_distinct_group (7000)  |  22.00| 141.00|  24.00|  22.00|  21.00|  22.00|
count_distinct_group_on_key (|  28.00| 110.00|  28.00|  28.00|  22.00|  27.00|
count_distinct_group_on_key_p|  22.00| 141.00|  25.00|  21.00|  21.00|  22.00|
count_distinct_key_prefix (70|   1.00|   2.00|   9.00|   1.00|   1.00|   1.00|
