This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mysql_5.5.20_ddefault             : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mysql_5.5.20_debug                : MySQL 5.5.20 debug --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  debug
 3 mysql-mysql_5.5.20_engine_heap          : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --create-options=ENGINE=HEAP --only-missing-tests
  engine-heap
 4 mysql-mysql_5.5.20_gcc_O2               : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  gcc-O2
 5 mysql-mysql_5.5.20_omit_frame_pointer   : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  omit-frame-pointer
 6 mysql-mysql_5.5.20_skip_grants          : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  skip-grants
 7 mysql-mysql_5.5.20_static               : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  static

======================================================================================
Operation                    |      1|      2|      3|      4|      5|      6|      7|
                             |mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|
--------------------------------------------------------------------------------------
Results per test in seconds:                                                         |
--------------------------------------------------------------------------------------
ATIS                         | 233.00| 442.00| 295.00| 227.00| 223.00| 226.00| 222.00|
alter-table                  |  63.00|  66.00|  58.00|  58.00|  63.00|  59.00|  62.00|
big-tables                   | 280.00| 546.00|       | 289.00| 268.00| 280.00| 276.00|
connect                      | 195.00| 287.00| 182.00| 195.00| 195.00| 194.00| 193.00|
create                       |1232.00|1217.00|1226.00|1161.00|1159.00|1227.00|1147.00|
insert                       | 279.00| 551.00|       | 329.00| 271.00| 288.00| 278.00|
select                       | 300.00| 854.00| 352.00| 294.00| 293.00| 297.00| 297.00|
wisconsin                    | 258.00| 362.00| 229.00| 253.00| 243.00| 252.00| 253.00|
--------------------------------------------------------------------------------------
The results per operation:                                                           |
--------------------------------------------------------------------------------------
alter_table_add (992)        |  61.00|  65.00|  57.00|  57.00|  62.00|  57.00|  60.00|
book-keeping (11)            |   1.00|   0.00|  *0.00|   0.00|   0.00|   1.00|   0.00|
connect (50000)              |  20.00|  22.00|  21.00|  21.00|  20.00|  19.00|  21.00|
connect+select_1_row (50000) |  26.00|  29.00|  26.00|  26.00|  26.00|  26.00|  25.00|
connect+select_simple (50000)|  23.00|  25.00|  23.00|  23.00|  25.00|  23.00|  23.00|
count (100)                  |   2.00|   9.00|       |   2.00|   2.00|   2.00|   3.00|
count_distinct (7000)        |  19.00|  64.00|  11.00|  19.00|  19.00|  18.00|  19.00|
count_distinct_2 (7000)      |  29.00|  76.00|  28.00|  29.00|  28.00|  29.00|  28.00|
count_distinct_big (720)     |  17.00|  30.00| *12.00|  17.00|  16.00|  17.00|  15.00|
count_distinct_group (7000)  |  21.00|  76.00|  22.00|  22.00|  21.00|  21.00|  21.00|
count_distinct_group_on_key (|  22.00|  67.00|  26.00|  21.00|  20.00|  22.00|  21.00|
count_distinct_group_on_key_p|  21.00|  76.00|  22.00|  22.00|  20.00|  21.00|  21.00|
count_distinct_key_prefix (70|   1.00|   2.00|   8.00|   1.00|   1.00|   1.00|   1.00|
count_group (7000)           |  20.00|  55.00|  17.00|  19.00|  21.00|  20.00|  18.00|
count_group_on_key_parts (700|  29.00|  78.00|  17.00|  28.00|  26.00|  28.00|  31.00|
count_group_with_order (7000)|  20.00|  55.00|  18.00|  19.00|  21.00|  20.00|  19.00|
count_on_key (50100)         |  39.00| 134.00| *40.00|  37.00|  37.00|  37.00|  39.00|
create+drop (10000)          | 592.00| 584.00| 603.00| 560.00| 556.00| 595.00| 559.00|
create_MANY_tables (400)     |  18.00|  20.00|  20.00|  21.00|  19.00|  19.00|  17.00|
create_index (8)             |   0.00|   0.00|   1.00|   1.00|   1.00|   1.00|   1.00|
create_key+drop (10000)      | 622.00| 613.00| 603.00| 580.00| 584.00| 613.00| 571.00|
create_table (31)            |   1.00|   2.00|   3.00|   2.00|   2.00|   1.00|   1.00|
delete_all_many_keys (1)     |   4.00|  13.00|       |   4.00|   4.00|   4.00|   4.00|
delete_big (1)               |   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|
delete_big_many_keys (128)   |   4.00|  13.00|       |   4.00|   4.00|   4.00|   4.00|
delete_key (10000)           |   0.00|   1.00|       |   0.00|   0.00|   1.00|   1.00|
delete_range (12)            |   1.00|   3.00|       |   1.00|   1.00|   1.00|   1.00|
drop_index (8)               |   1.00|   1.00|   0.00|   0.00|   0.00|   1.00|   1.00|
drop_table (28)              |   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|
drop_table_when_MANY_tables (|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|   0.00|
insert (350768)              |   2.00|   7.00|  *0.00|   3.00|   3.00|   4.00|   3.00|
insert_duplicates (100000)   |   4.00|   6.00|       |   4.00|   4.00|   4.00|   4.00|
insert_key (100000)          |   6.00|  16.00|       |   6.00|   6.00|   5.00|   6.00|
insert_many_fields (140000)  | 104.00| 223.00|       | 109.00|  98.00| 104.00| 103.00|
insert_select_1_key (1)      |   1.00|   3.00|       |   1.00|   1.00|   0.00|   1.00|
insert_select_2_keys (1)     |   1.00|   2.00|       |   1.00|   1.00|   1.00|   0.00|
min_max (60)                 |   1.00|   7.00|       |   2.00|   2.00|   2.00|   2.00|
