Benchmark DBD suite: 2.15
Date of test:        2012-01-26 11:29:47
Running tests on:    Linux 3.1.0-1.2-desktop x86_64
Arguments:           --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
Comments:            gcc-O2
Limits from:         mysql,pg
Server version:      MySQL 5.5.20
Optimization:        None
Hardware:            

alter-table: Total time: 58 wallclock secs ( 0.07 usr  0.01 sys +  0.00 cusr  0.00 csys =  0.08 CPU)
ATIS: Total time: 227 wallclock secs (76.92 usr  2.92 sys +  0.00 cusr  0.00 csys = 79.84 CPU)
big-tables: Total time: 289 wallclock secs (80.52 usr 12.20 sys +  0.00 cusr  0.00 csys = 92.72 CPU)
connect: Total time: 195 wallclock secs (61.45 usr 22.27 sys +  0.00 cusr  0.00 csys = 83.72 CPU)
create: Total time: 1161 wallclock secs ( 1.37 usr  0.66 sys +  0.00 cusr  0.00 csys =  2.03 CPU)
insert: Total time: 329 wallclock secs (127.42 usr 20.84 sys +  0.00 cusr  0.00 csys = 148.26 CPU)
select: Total time: 294 wallclock secs (31.20 usr  2.49 sys +  0.00 cusr  0.00 csys = 33.69 CPU)
transactions: Test skipped because the database doesn't support transactions
wisconsin: Total time: 253 wallclock secs (139.56 usr  5.39 sys +  0.00 cusr  0.00 csys = 144.95 CPU)

All 9 test executed successfully

Totals per operation:
Operation             seconds     usr     sys     cpu   tests
alter_table_add                       57.00    0.06    0.01    0.07     992 
book-keeping                           0.00    0.00    0.00    0.00      11 
connect                               21.00   10.26    2.06   12.32   50000 
connect+select_1_row                  26.00   11.57    2.81   14.38   50000 
connect+select_simple                 23.00   11.10    2.44   13.54   50000 
count                                  2.00    0.01    0.00    0.01     100 
count_distinct                        19.00    0.59    0.09    0.68    7000 
count_distinct_2                      29.00    0.64    0.11    0.75    7000 
count_distinct_big                    17.00   10.20    0.18   10.38     720 
count_distinct_group                  22.00    1.74    0.12    1.86    7000 
count_distinct_group_on_key           21.00    0.65    0.11    0.76    7000 
count_distinct_group_on_key_parts     22.00    1.81    0.09    1.90    7000 
count_distinct_key_prefix              1.00    0.37    0.06    0.43    7000 
count_group                           19.00    1.72    0.08    1.80    7000 
count_group_on_key_parts              28.00    1.70    0.18    1.88    7000 
count_group_with_order                19.00    1.74    0.05    1.79    7000 
count_on_key                          37.00    3.50    0.59    4.09   50100 
create+drop                          560.00    0.62    0.33    0.95   10000 
create_MANY_tables                    21.00    0.02    0.01    0.03     400 
create_index                           1.00    0.00    0.00    0.00       8 
create_key+drop                      580.00    0.72    0.32    1.04   10000 
create_table                           2.00    0.01    0.00    0.01      31 
delete_all_many_keys                   4.00    0.00    0.01    0.01       1 
delete_big                             0.00    0.00    0.00    0.00       1 
