Benchmark DBD suite: 2.15
Date of test:        2012-01-26 12:16:38
Running tests on:    Linux 3.1.0-1.2-desktop x86_64
Arguments:           --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
Comments:            omit-frame-pointer
Limits from:         mysql,pg
Server version:      MySQL 5.5.20
Optimization:        None
Hardware:            

alter-table: Total time: 63 wallclock secs ( 0.05 usr  0.02 sys +  0.00 cusr  0.00 csys =  0.07 CPU)
ATIS: Total time: 223 wallclock secs (78.73 usr  2.73 sys +  0.00 cusr  0.00 csys = 81.46 CPU)
big-tables: Total time: 268 wallclock secs (85.15 usr  9.01 sys +  0.00 cusr  0.00 csys = 94.16 CPU)
connect: Total time: 195 wallclock secs (60.44 usr 22.15 sys +  0.00 cusr  0.00 csys = 82.59 CPU)
create: Total time: 1159 wallclock secs ( 1.36 usr  0.68 sys +  0.00 cusr  0.00 csys =  2.04 CPU)
insert: Total time: 271 wallclock secs (102.84 usr 12.38 sys +  0.00 cusr  0.00 csys = 115.22 CPU)
select: Total time: 293 wallclock secs (30.45 usr  2.27 sys +  0.00 cusr  0.00 csys = 32.72 CPU)
transactions: Test skipped because the database doesn't support transactions
wisconsin: Total time: 243 wallclock secs (138.43 usr  5.29 sys +  0.00 cusr  0.00 csys = 143.72 CPU)

All 9 test executed successfully

Totals per operation:
Operation             seconds     usr     sys     cpu   tests
alter_table_add                       62.00    0.05    0.01    0.06     992 
book-keeping                           0.00    0.00    0.00    0.00      11 
connect                               20.00   10.13    2.09   12.22   50000 
connect+select_1_row                  26.00   11.64    2.61   14.25   50000 
connect+select_simple                 25.00   11.31    2.51   13.82   50000 
count                                  2.00    0.01    0.00    0.01     100 
count_distinct                        19.00    0.63    0.10    0.73    7000 
count_distinct_2                      28.00    0.60    0.13    0.73    7000 
count_distinct_big                    16.00    9.61    0.16    9.77     720 
count_distinct_group                  21.00    1.73    0.13    1.86    7000 
count_distinct_group_on_key           20.00    0.68    0.10    0.78    7000 
count_distinct_group_on_key_parts     20.00    1.72    0.12    1.84    7000 
count_distinct_key_prefix              1.00    0.38    0.05    0.43    7000 
count_group                           21.00    1.81    0.00    1.81    7000 
count_group_on_key_parts              26.00    1.72    0.10    1.82    7000 
count_group_with_order                21.00    1.70    0.02    1.72    7000 
count_on_key                          37.00    3.51    0.55    4.06   50100 
create+drop                          556.00    0.63    0.34    0.97   10000 
create_MANY_tables                    19.00    0.03    0.00    0.03     400 
create_index                           1.00    0.00    0.00    0.00       8 
create_key+drop                      584.00    0.70    0.34    1.04   10000 
create_table                           2.00    0.00    0.00    0.00      31 
delete_all_many_keys                   4.00    0.01    0.00    0.01       1 
delete_big                             0.00    0.00    0.00    0.00       1 
delete_big_many_keys                   4.00    0.01    0.00    0.01     128 
delete_key                             0.00    0.08    0.05    0.13   10000 
delete_range                           1.00    0.00    0.00    0.00      12 
drop_index                             0.00    0.00    0.00    0.00       8 
drop_table                             0.00    0.00    0.00    0.00      28 
drop_table_when_MANY_tables            0.00    0.00    0.00    0.00     400 
insert                                 3.00    0.39    0.06    0.45  350768 
insert_duplicates                      4.00    0.95    0.45    1.40  100000 
insert_key                             6.00    0.53    0.00    0.53  100000 
insert_many_fields                    98.00    5.56    1.76    7.32  140000 
insert_select_1_key                    1.00    0.00    0.00    0.00       1 
insert_select_2_keys                   1.00    0.00    0.00    0.00       1 
min_max                                2.00    0.01    0.00    0.01      60 
min_max_on_key                         8.00    3.75    0.56    4.31   85000 
once_prepared_select                   7.00    1.73    0.46    2.19  100000 
order_by_big                           6.00    4.04    0.05    4.09      10 
order_by_big_key                       5.00    4.13    0.07    4.20      10 
order_by_big_key2                      5.00    4.03    0.05    4.08      10 
