Benchmark DBD suite: 2.15
Date of test:        2012-01-26 15:58:14
Running tests on:    Linux 3.1.0-1.2-desktop x86_64
Arguments:           --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
Comments:            default
Limits from:         mysql,pg
Server version:      MySQL 5.6.4 m7
Optimization:        None
Hardware:            

alter-table: Total time: 60 wallclock secs ( 0.07 usr  0.02 sys +  0.00 cusr  0.00 csys =  0.09 CPU)
ATIS: Total time: 237 wallclock secs (78.85 usr  2.54 sys +  0.00 cusr  0.00 csys = 81.39 CPU)
big-tables: Total time: 294 wallclock secs (74.24 usr 21.11 sys +  0.00 cusr  0.00 csys = 95.35 CPU)
connect: Total time: 209 wallclock secs (62.27 usr 21.42 sys +  0.00 cusr  0.00 csys = 83.69 CPU)
create: Total time: 1163 wallclock secs ( 1.49 usr  0.53 sys +  0.00 cusr  0.00 csys =  2.02 CPU)
insert: Total time: 303 wallclock secs (110.81 usr 14.90 sys +  0.00 cusr  0.00 csys = 125.71 CPU)
select: Total time: 312 wallclock secs (30.82 usr  2.28 sys +  0.00 cusr  0.00 csys = 33.10 CPU)
transactions: Test skipped because the database doesn't support transactions
wisconsin: Total time: 253 wallclock secs (142.09 usr  4.90 sys +  0.00 cusr  0.00 csys = 146.99 CPU)

All 9 test executed successfully

Totals per operation:
Operation             seconds     usr     sys     cpu   tests
alter_table_add                       59.00    0.05    0.01    0.06     992 
book-keeping                           1.00    0.00    0.00    0.00      11 
connect                               21.00   10.25    2.10   12.35   50000 
connect+select_1_row                  29.00   11.96    2.98   14.94   50000 
connect+select_simple                 25.00   11.69    2.18   13.87   50000 
count                                  2.00    0.01    0.00    0.01     100 
count_distinct                        21.00    0.84    0.10    0.94    7000 
count_distinct_2                      31.00    0.77    0.09    0.86    7000 
count_distinct_big                    16.00    9.75    0.10    9.85     720 
count_distinct_group                  23.00    1.82    0.07    1.89    7000 
count_distinct_group_on_key           21.00    0.68    0.10    0.78    7000 
count_distinct_group_on_key_parts     23.00    1.82    0.09    1.91    7000 
count_distinct_key_prefix              1.00    0.40    0.05    0.45    7000 
count_group                           20.00    1.75    0.09    1.84    7000 
count_group_on_key_parts              31.00    1.74    0.08    1.82    7000 
count_group_with_order                20.00    1.76    0.10    1.86    7000 
count_on_key                          40.00    3.28    0.60    3.88   50100 
create+drop                          560.00    0.68    0.27    0.95   10000 
create_MANY_tables                    18.00    0.02    0.00    0.02     400 
create_index                           0.00    0.00    0.00    0.00       8 
create_key+drop                      585.00    0.78    0.25    1.03   10000 
create_table                           2.00    0.00    0.00    0.00      31 
delete_all_many_keys                   4.00    0.01    0.00    0.01       1 
delete_big                             1.00    0.00    0.00    0.00       1 
