This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mariadb_5.2.10_ddefault           : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mariadb_5.3.3_ddefault            : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 3 mysql-mariadb_5.5_ddefault              : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 4 mysql-mysql_5.5.20_ddefault             : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 5 mysql-mysql_5.6.7_ddefault              : MySQL 5.6.4 m7 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default

======================================================================
Operation                    |      1|      2|      3|      4|      5|
                             |mysql-m|mysql-m|mysql-m|mysql-m|mysql-m|
----------------------------------------------------------------------
Results per test in seconds:                                         |
----------------------------------------------------------------------
ATIS                         | 231.00| 241.00| 241.00| 233.00| 237.00|
alter-table                  |  63.00|  59.00|  15.00|  63.00|  60.00|
big-tables                   | 273.00| 283.00| 298.00| 280.00| 294.00|
connect                      | 182.00| 204.00| 215.00| 195.00| 209.00|
create                       |1145.00|1216.00|   8.00|1232.00|1163.00|
insert                       | 274.00| 333.00| 310.00| 279.00| 303.00|
select                       | 304.00| 322.00| 312.00| 300.00| 312.00|
wisconsin                    | 239.00| 250.00| 256.00| 258.00| 253.00|
----------------------------------------------------------------------
The results per operation:                                           |
----------------------------------------------------------------------
alter_table_add (992)        |  61.00|  58.00|  14.00|  61.00|  59.00|
book-keeping (11)            |   1.00|   2.00|   1.00|   1.00|   1.00|
connect (50000)              |  19.00|  19.00|  19.00|  20.00|  21.00|
connect+select_1_row (50000) |  25.00|  25.00|  28.00|  26.00|  29.00|
connect+select_simple (50000)|  23.00|  23.00|  24.00|  23.00|  25.00|
count (100)                  |   2.00|   3.00|   3.00|   2.00|   2.00|
count_distinct (7000)        |  19.00|  20.00|  20.00|  19.00|  21.00|
count_distinct_2 (7000)      |  29.00|  28.00|  33.00|  29.00|  31.00|
count_distinct_big (720)     |  16.00|  17.00|  16.00|  17.00|  16.00|
count_distinct_group (7000)  |  21.00|  21.00|  22.00|  21.00|  23.00|
count_distinct_group_on_key (|  25.00|  27.00|  28.00|  22.00|  21.00|
count_distinct_group_on_key_p|  22.00|  21.00|  22.00|  21.00|  23.00|
