#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	0.28	0.33	0.15	0.33
2	0.26	0.19	0.24	0.23
4	0.23	0.24	0.23	0.24
8	0.26	0.29	0.32	0.31
16	0.44	0.56	0.55	0.53
32	0.97	1.11	1.10	1.09
64	2.14	2.29	2.31	2.29
128	4.54	4.58	4.59	4.60
256	9.19	9.20	9.18	9.18


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	0.28	0.33	0.32	0.31
2	0.26	0.26	0.24	0.23
4	0.20	0.20	0.20	0.20
8	0.24	0.30	0.34	0.33
16	0.42	0.66	0.66	0.57
32	1.18	1.33	1.32	1.32
64	2.70	2.71	2.68	2.79
128	5.47	5.42	5.43	5.56
256	11.04	10.91	10.87	11.14


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	0.11	0.33	0.33	0.35
2	0.18	0.28	0.28	0.28
4	0.24	0.27	0.26	0.25
8	0.23	0.37	0.36	0.35
16	0.58	0.70	0.65	0.69
32	1.26	1.42	1.41	1.41
64	2.78	2.99	2.87	2.90
128	5.78	5.96	5.76	5.80
256	11.86	11.88	11.57	11.58


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	0.29	0.18	0.38	0.38
2	0.26	0.30	0.23	0.26
4	0.22	0.27	0.31	0.31
8	0.36	0.41	0.42	0.43
16	0.67	0.91	0.90	0.93
32	1.68	1.83	1.82	1.83
64	3.57	3.64	3.65	3.64
128	7.19	7.29	7.32	7.31
256	14.65	14.72	14.82	14.61


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	0.28	0.34	0.24	0.34
2	0.21	0.27	0.22	0.30
4	0.23	0.24	0.27	0.27
8	0.24	0.28	0.28	0.27
16	0.33	0.37	0.38	0.38
32	0.72	0.75	0.75	0.75
64	1.52	1.58	1.59	1.59
128	3.10	3.19	3.21	3.20
256	6.38	6.38	6.38	6.38


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	0.11	0.34	0.34	0.29
2	0.15	0.26	0.22	0.21
4	0.20	0.28	0.26	0.20
8	0.26	0.28	0.28	0.26
16	0.41	0.47	0.47	0.47
32	0.87	0.94	0.94	0.94
64	1.88	1.95	1.96	1.97
128	3.79	3.92	3.92	3.94
256	7.78	7.83	7.88	7.87


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	0.28	0.35	0.36	0.35
2	0.27	0.27	0.31	0.28
4	0.25	0.24	0.29	0.27
8	0.28	0.28	0.29	0.29
16	0.44	0.50	0.50	0.51
32	0.92	1.00	1.00	1.01
64	1.97	2.09	2.10	2.10
128	4.09	4.17	4.18	4.20
256	8.29	8.36	8.36	8.41


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	0.29	0.39	0.19	0.36
2	0.26	0.30	0.28	0.28
4	0.24	0.34	0.31	0.34
8	0.32	0.45	0.46	0.46
16	0.68	0.91	0.85	0.91
32	1.66	1.82	1.85	1.81
64	3.46	3.62	3.69	3.64
128	7.06	7.25	7.29	7.29
256	14.55	14.55	14.64	14.85


