#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	3530.8	5120.6	3074.6	2900.5
2	7951.8	7838.5	7347.5	10555
4	15301	14362	12989	15533
8	31842	24754	23730	28216
16	38039	26718	26720	26854
32	29318	26851	26615	26821
64	26525	25765	25612	25755
128	26117	25804	25650	25574
256	25620	25739	25736	25703


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	3631.7	2977.7	3121.0	2905.5
2	7988.0	7069.4	7446.6	7078.9
4	16236	12849	16541	14654
8	35884	21484	21817	21658
16	33208	21650	23910	22391
32	23849	21699	22979	22425
64	22535	21140	21934	21358
128	21861	21114	21935	21105
256	21610	21200	21852	21015


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	3303.3	2742.9	2919.4	2974.1
2	7649.5	7101.8	12104	10055
4	15031	14141	13079	14301
8	27186	18061	19286	18866
16	35016	18462	18331	19130
32	22214	17327	16854	18051
64	19390	16717	16598	16771
128	18582	16765	16210	16672
256	16781	16759	16586	16702


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	3471.8	5514.3	2792.3	3499.0
2	7693.4	6463.4	7186.2	8058.9
4	15085	12336	12119	12403
8	23000	17334	17647	19239
16	23637	17584	17912	18526
32	19243	17793	17855	18423
64	18971	17852	17944	17870
128	18109	17878	17863	17873
256	17413	17169	17743	17689


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	3495.6	3505.7	2672.5	3447.1
2	7592.1	12750	6858.0	7619.8
4	15900	13208	14012	13873
8	27223	28451	27336	27776
16	44188	37044	36706	36772
32	37519	37105	36795	36829
64	36194	35198	35011	35044
128	35834	35118	34905	34960
256	34967	35023	34994	34839


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	3523.8	2692.9	2839.8	2684.6
2	7931.4	6563.6	7258.9	6733.8
4	16633	14370	14557	13053
8	32891	24379	25249	25244
16	33008	28911	28571	28475
32	30666	28728	28873	28773
64	29460	28111	28019	27820
128	28457	27969	27940	27890
256	28155	28061	28065	27977


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	3382.8	2720.7	2676.2	2658.4
2	9778.7	13450	5563.5	6227.3
4	17016	12476	12491	12695
8	31813	24602	25944	24081
16	31603	27046	27111	26881
32	29469	27157	27106	27025
64	27539	26497	26447	26307
128	26648	26439	26423	26344
256	26530	26393	26364	26350


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	3098.0	2712.8	2652.4	2527.4
2	7642.4	6961.1	7230.2	6692.4
4	14360	11699	11929	11574
8	22702	17433	17239	19543
16	25636	17648	17402	17350
32	18867	17826	17363	17370
64	18172	17695	17395	17446
128	17776	17447	17392	17403
256	17496	17392	17327	17271


