#MariaDB-5.5.29 (glibc malloc)
#thd	none	global	db	table
1	0.12	0.44	0.45	0.43
2	0.28	0.32	0.34	0.32
4	0.28	0.30	0.29	0.30
8	0.32	0.42	0.41	0.37
16	0.63	0.70	0.69	0.69
32	1.23	1.30	1.32	1.32
64	2.67	2.77	2.77	2.77
128	9.34	9.38	9.31	9.36
256	22.77	22.81	22.73	22.75


#MySQL-5.5.30 (glibc malloc)
#thd	none	global	db	table
1	0.34	0.43	0.42	0.40
2	0.23	0.31	0.33	0.36
4	0.26	0.31	0.31	0.32
8	0.31	0.46	0.49	0.42
16	0.55	0.83	0.84	0.85
32	1.50	1.59	1.55	1.60
64	3.13	3.32	3.23	3.26
128	10.31	10.50	10.58	10.66
256	25.91	25.82	25.89	26.24


#MariaDB-10.0.1 (glibc malloc)
#thd	none	global	db	table
1	0.35	0.38	0.43	0.36
2	0.32	0.27	0.37	0.34
4	0.29	0.41	0.38	0.28
8	0.32	0.45	0.50	0.43
16	0.75	0.87	0.95	0.87
32	1.56	1.70	1.68	1.70
64	3.44	3.61	3.43	3.65
128	10.31	10.40	10.62	10.43
256	26.51	26.70	23.12	23.50


#MySQL-5.6.10 (glibc malloc)
#thd	none	global	db	table
1	0.14	0.42	0.24	0.42
2	0.30	0.34	0.31	0.31
4	0.35	0.41	0.38	0.38
8	0.44	0.61	0.52	0.58
16	0.78	1.08	1.08	1.04
32	1.79	2.04	2.03	2.05
64	3.85	3.91	3.90	3.98
128	7.67	7.63	7.63	7.71
256	22.35	22.12	22.11	22.61


#MariaDB-5.5.29 (tcmalloc)
#thd	none	global	db	table
1	0.33	0.42	0.45	0.38
2	0.23	0.33	0.33	0.34
4	0.29	0.35	0.32	0.35
8	0.29	0.34	0.36	0.34
16	0.44	0.50	0.50	0.50
32	0.86	0.91	0.92	0.92
64	1.80	1.88	1.88	1.89
128	6.47	6.64	6.65	6.69
256	16.29	16.27	16.31	16.34


#MySQL-5.5.30 (tcmalloc)
#thd	none	global	db	table
1	0.33	0.39	0.46	0.43
2	0.29	0.31	0.31	0.37
4	0.29	0.25	0.34	0.34
8	0.29	0.38	0.38	0.38
16	0.50	0.61	0.61	0.61
32	1.04	1.12	1.12	1.13
64	2.27	2.34	2.35	2.36
128	7.89	8.10	8.13	8.14
256	19.76	19.87	19.89	19.92


#MariaDB-10.0.1 (tcmalloc)
#thd	none	global	db	table
1	0.34	0.43	0.46	0.47
2	0.31	0.36	0.35	0.42
4	0.26	0.38	0.34	0.38
8	0.31	0.39	0.39	0.40
16	0.59	0.65	0.64	0.64
32	1.10	1.20	1.19	1.19
64	2.37	2.49	2.51	2.50
128	8.40	8.56	8.60	8.60
256	20.89	20.97	21.09	21.09


#MySQL-5.6.10 (tcmalloc)
#thd	none	global	db	table
1	0.39	0.45	0.44	0.45
2	0.28	0.35	0.30	0.35
4	0.32	0.37	0.39	0.35
8	0.40	0.55	0.57	0.58
16	0.79	1.11	0.93	1.11
32	1.80	2.08	2.04	2.07
64	3.78	4.00	3.95	3.99
128	7.69	7.81	7.82	7.82
256	22.45	22.56	23.08	22.55


