# 95 percentile response time in milliseconds
# res01 = MySQL-5.6.10
# res02 = MySQL-5.6.10 (tcmalloc)
# res03 = MariaDB-10.0.1
# res04 = MariaDB-10.0.1 (tcmalloc)
# res05 = MySQL-5.5.30
# res06 = MySQL-5.5.30 (tcmalloc)
# res07 = MariaDB-5.5.30
# res08 = MariaDB-5.5.30 (tcmalloc)

#thd	res01	res02	res03	res04	res05	res06	res07	res08

1	1.92	1.88	1.77	1.73	1.78	1.73	1.73	1.65
2	1.69	1.68	1.63	1.60	1.48	1.39	1.52	1.48
4	1.85	1.72	1.73	1.63	1.61	1.64	1.65	1.47
8	1.92	1.82	1.82	1.80	1.83	1.72	1.82	1.73
16	2.10	1.95	2.29	2.34	2.42	2.28	2.39	2.31
32	2.35	2.12	3.87	3.70	3.77	3.64	3.75	3.62
64	6.40	4.97	10.26	10.03	9.53	8.96	9.73	9.36
128	18.00	14.25	18.72	18.45	19.77	18.57	17.58	16.85
256	47.37	38.83	42.15	40.72	53.48	46.50	40.35	37.02
512	126.19	114.66	117.97	97.81	139.63	129.17	115.22	94.33
1024	439.68	376.53	818.99	291.94	811.91	511.74	757.89	474.56
